cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,local_risk,strong_fixed_alpha,strong_fixed_risk,phase_early_alpha,phase_late_alpha,phase_risk,safe_risk,safe_charged_shadow_risk,safe_to_local_ratio,safe_to_fixed_ratio,phase_to_fixed_ratio,safe_checkpoint_valid,safe_early_alpha_mean,safe_late_alpha_mean,safe_uses_nonzero,safe_uses_shadow,safe_environment_used,safe_message_used
H0-I0.5-N0.5-S0.9-T0-D0,0.0,0.5,0.5,0.9,0.0,0,0.010204082374020726,1.0,0.009438776253937815,0.0,1.0,0.009438776253937815,0.009438777491310887,0.010204083607457299,0.9250001269434789,1.0000001310946502,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0.9-T0-D1,0.0,0.5,0.5,0.9,0.0,1,0.010204082374020726,0.5,0.007942129111766508,0.5,0.5,0.007942129111766508,0.008218863104903346,0.010204083607457299,0.8054485257614457,1.034843804380723,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.5-S0.9-T0-D3,0.0,0.5,0.5,0.9,0.0,3,0.010204082374020726,0.5,0.005545418287210641,0.25,0.5,0.0055454030293668605,0.005648017462654641,0.010204083607457299,0.5535056711257366,1.0185016116242527,0.9999972485675578,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.5-S0.9-T0.6-D0,0.0,0.5,0.5,0.9,0.6,0,0.03299178711729042,1.0,0.03051740314146229,0.0,1.0,0.03051740314146229,0.029714310208922165,0.03212357843730732,0.900657794113536,0.9736840998948234,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0.9-T0.6-D1,0.0,0.5,0.5,0.9,0.6,1,0.03299178711729042,0.5,0.025678427082234667,0.5,0.5,0.025678427082234667,0.026352579596999604,0.03212357843730732,0.7987618101230011,1.0262536530218918,1.0,True,0.4166666666666667,0.5,True,False,240,18
H0-I0.5-N0.5-S0.9-T0.6-D3,0.0,0.5,0.5,0.9,0.6,3,0.03299178711729042,0.5,0.017907047704203316,0.5,0.5,0.017907047704203316,0.01800132315471033,0.03212357843730732,0.5456304349537995,1.0052647120879052,1.0,True,0.3333333333333333,0.5,True,False,240,17
H0-I0.5-N0.5-S0.9-T0.9-D0,0.0,0.5,0.5,0.9,0.9,0,0.07338202001295083,1.0,0.06787836856994817,0.0,1.0,0.06787836856994817,0.06288573270366922,0.06798457572892577,0.8569637724959169,0.9264473208260143,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N0.5-S0.9-T0.9-D1,0.0,0.5,0.5,0.9,0.9,1,0.07338202001295083,0.5,0.05711525732928345,0.5,0.5,0.05711525732928345,0.05773407354113106,0.06798457572892577,0.7867604834391566,1.010834516743573,1.0,True,0.5,0.5,True,False,240,18
H0-I0.5-N0.5-S0.9-T0.9-D3,0.0,0.5,0.5,0.9,0.9,3,0.07338202001295083,0.5,0.039817507609984065,0.5,0.5,0.039817507609984065,0.03902370683454765,0.06798457572892577,0.5317883975892262,0.9800640265279343,1.0,True,0.4166666666666667,0.5,True,False,240,18
H0-I0.5-N1-S0-T0-D0,0.0,0.5,1.0,0.0,0.0,0,0.020408163975126216,1.0,0.005102041573467979,0.0,1.0,0.005102041573467979,0.005102042833147884,0.020408165156076127,0.25000009012894703,1.0000002468972249,1.0,True,1.0,1.0,True,False,240,18
