persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,121,3,0.0008333333333333334,3228,0.918974655457361,0.919,True,15872,2000,22,1,0.0280445861703535,64,1424,0.9640751649411159
0.9,0.9,2,121,4,0.0005,4652,0.9139638525122193,0.914,True,13872,2000,19,1,0.027257635739261463,71,1361,0.9650728420361211
0.9,0.9,2,121,5,0.0003333333333333333,6013,0.9104074218105496,0.911,True,11872,2000,19,1,0.02766196709820882,71,1361,0.9645696715234632
0.9,0.9,2,121,6,0.0002380952380952381,7374,0.9119892453322116,0.912,True,9872,2000,20,1,0.028035033224699517,68,1388,0.9640981346383568
0.9,0.9,2,121,7,0.00017857142857142857,8762,0.9114381135447132,0.912,True,7872,2000,19,1,0.027545393742254908,71,1361,0.9647146859769614
0.9,0.9,2,121,8,0.0001388888888888889,10123,0.9104586554221316,0.911,True,5872,2000,20,1,0.028137840981297638,68,1388,0.9639703483232218
0.9,0.9,2,121,9,0.00011111111111111112,11511,0.9095493471238072,0.91,True,3872,2000,19,1,0.0277550284642611,71,1361,0.9644539377403153
0.9,0.9,2,121,10,9.090909090909092e-05,12872,0.9088319634061967,0.909,True,1872,1872,19,1,0.027761769601364453,66,1278,0.964445555385364
0.9,0.9,2,122,1,0.005,128,0.965461744787235,0.966,True,19872,2000,51,1,0.0272935879165765,33,1703,0.964991925740662
0.9,0.9,2,122,2,0.0016666666666666668,1831,0.9116122644673899,0.912,True,17872,2000,20,1,0.027975195004112132,68,1388,0.9641725275240995
0.9,0.9,2,122,3,0.0008333333333333334,3219,0.9118542365684911,0.912,True,15872,2000,19,1,0.027507060921952896,71,1361,0.9647623809028664
0.9,0.9,2,122,4,0.0005,4580,0.9148435101207817,0.915,True,13872,2000,19,1,0.027115764842166438,71,1361,0.9652495208624575
0.9,0.9,2,122,5,0.0003333333333333333,5941,0.9124805005286426,0.913,True,11872,2000,19,1,0.027406060721172812,71,1361,0.964888071819584
0.9,0.9,2,122,6,0.0002380952380952381,7302,0.91396022118694,0.914,True,9872,2000,20,1,0.027801322170087277,68,1388,0.9643887593138506
0.9,0.9,2,122,7,0.00017857142857142857,8690,0.9122268696850054,0.913,True,7872,2000,19,1,0.027414040264830897,71,1361,0.9648781403566423
0.9,0.9,2,122,8,0.0001388888888888889,10051,0.9126506393317042,0.913,True,5872,2000,20,1,0.02791347428842444,68,1388,0.9642492732167576
