persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,online_error,oracle_error,static_error,worst_mixing_error,online_to_oracle,first_updating_gap,final_gap,median_selected_q,final_transition_count
0.5,0.0,0,96,True,0.9706796525142437,0.0002897768078027265,0.0002495536009429936,2.5653309670537548e-05,7.655341239517966e-05,1.1611806309656145,4,2,32.0,1832
0.5,0.0,0,97,True,0.9708949708778352,0.00029767345175955666,0.0002495536009429936,2.5650902550853533e-05,7.655341239517966e-05,1.192823708552918,4,3,32.0,1824
0.5,0.0,0,98,True,0.9716006789530512,0.00030014102790221073,0.0002495536009429936,2.5645731540923e-05,7.655341239517966e-05,1.2027116690284625,3,3,32.0,2064
0.5,0.0,0,99,True,0.9708392778117872,0.00029788309467453897,0.0002495536009429936,2.566013843623797e-05,7.655341239517966e-05,1.193663780241686,4,3,32.0,1864
0.5,0.0,0,100,True,0.969773921672583,0.00029788309077573847,0.0002495536009429936,2.62475105958845e-05,7.655341239517966e-05,1.1936637646185875,6,3,32.0,2024
0.5,0.0,0,101,True,0.9696733672542128,0.0002975491545402731,0.0002495536009429936,2.5645874009816465e-05,7.655341239517966e-05,1.1923256303091505,6,3,32.0,2024
0.5,0.0,0,102,True,0.9707616224721032,0.0002897768162569576,0.0002495536009429936,2.5662340440682195e-05,7.655341239517966e-05,1.1611806648430303,4,2,32.0,1792
0.5,0.0,0,103,True,0.9709825274717332,0.00029869816924726135,0.0002495536009429936,2.624728913302172e-05,7.655341239517966e-05,1.1969299105224853,4,3,32.0,1864
0.5,0.0,0,104,True,0.9702538941488115,0.00030014101194471965,0.0002495536009429936,2.5662340440682195e-05,7.655341239517966e-05,1.2027116050843196,5,3,32.0,1904
0.5,0.0,0,105,True,0.9708949708778352,0.0002989212679892434,0.0002495536009429936,2.6247263789362578e-05,7.655341239517966e-05,1.1978239017978625,4,3,32.0,1944
0.5,0.0,0,106,True,0.971377653906289,0.0002978830933138398,0.0002495536009429936,2.624767414217801e-05,7.655341239517966e-05,1.1936637747891534,3,3,32.0,1904
0.5,0.0,0,107,True,0.971014821604848,0.0002979594704249864,0.0002495536009429936,2.565474632414413e-05,7.655341239517966e-05,1.1939698297242776,4,3,32.0,1824
0.5,0.0,0,108,True,0.9697285289506388,0.00029849110062320157,0.0002495536009429936,2.564603125717058e-05,7.655341239517966e-05,1.1961001544168737,6,3,32.0,1984
0.5,0.0,0,109,True,0.9709825274717332,0.00028744257672846555,0.0002495536009429936,2.564492699978146e-05,7.655341239517966e-05,1.1518270048690944,4,2,32.0,1752
0.5,0.0,0,110,True,0.9709825274717332,0.0002989212761153339,0.0002495536009429936,2.5650389142867632e-05,7.655341239517966e-05,1.197823934360368,4,3,32.0,1864
0.5,0.0,0,111,True,0.9709465323518405,0.0002974365084947942,0.0002495536009429936,2.6247570232247175e-05,7.655341239517966e-05,1.1918742401266278,4,3,32.0,1824
0.5,0.0,0,112,True,0.971377653906289,0.00028855261591128906,0.0002495536009429936,2.6247206943699805e-05,7.655341239517966e-05,1.1562751041096142,3,2,32.0,1672
0.5,0.0,0,113,True,0.9697285289506388,0.0003006334074255976,0.0002495536009429936,2.6247232119306748e-05,7.655341239517966e-05,1.2046847101768423,6,3,32.0,2024
0.5,0.0,0,114,True,0.9706796525142437,0.0002991609955760673,0.0002495536009429936,2.565400733072676e-05,7.655341239517966e-05,1.198784527434672,4,3,32.0,1904
0.5,0.0,0,115,True,0.9706796525142437,0.00029760981048447397,0.0002495536009429936,2.6247232119306748e-05,7.655341239517966e-05,1.192568688089009,4,3,32.0,1824
0.5,0.0,0,116,True,0.9708392778117872,0.00029849109890961293,0.0002495536009429936,2.6247570232247175e-05,7.655341239517966e-05,1.1961001475502582,4,3,32.0,1944
0.5,0.0,0,117,True,0.9701922368925227,0.00029880769511200826,0.0002495536009429936,2.6247214686128177e-05,7.655341239517966e-05,1.1973687976566842,5,3,32.0,1984
0.5,0.0,0,118,True,0.9716383759939653,0.00029955332021506387,0.0002495536009429936,2.5652032381550828e-05,7.655341239517966e-05,1.2003566331366697,3,3,32.0,1784
0.5,0.0,0,119,True,0.9702538941488115,0.00028855261591629206,0.0002495536009429936,2.566013843623797e-05,7.655341239517966e-05,1.156275104129662,5,2,32.0,1792
0.5,0.0,0,120,True,0.9716006789530512,0.0002995533119273583,0.0002495536009429936,2.6247263789362578e-05,7.655341239517966e-05,1.2003565999265475,3,3,32.0,1984
0.5,0.0,0,121,True,0.9706796525142437,0.00028676450972989946,0.0002495536009429936,2.566352506385111e-05,7.655341239517966e-05,1.149109885196191,4,2,32.0,1752
