persistence,rho,seed,decision,persistence_upper,certified_persistence,rho_upper_before,gap,probes,collision_trials,collisions,cumulative_tv_bias,p_trials,jointly_covered_so_far,spent
0.5,0.9,20290295,2,0.5876982277523972,0.588,1.0,3,153,278,266,1.8909050917854686,1348,True,4128
0.5,0.9,20290295,3,0.5660683342562278,0.5680000000000001,1.0,3,153,431,415,2.468202243785458,1818,True,6128
0.5,0.9,20290295,4,0.5591164550963175,0.56,1.0,3,153,584,561,2.8647782437854468,2288,True,8128
0.5,0.9,20290295,5,0.5578020870047673,0.558,1.0,3,153,737,709,3.223003875785442,2758,True,10128
0.5,0.9,20290295,6,0.5576163816944424,0.558,1.0,3,153,890,852,3.581229507785437,3228,True,12128
0.5,0.9,20290295,7,0.5467581235331698,0.548,1.0,3,153,1043,998,3.7842764197854404,3698,True,14128
0.5,0.9,20290295,8,0.5446586378308356,0.546,1.0,3,153,1196,1143,3.9629853157854127,4168,True,16128
0.5,0.9,20290295,9,0.5436188468372665,0.544,1.0,3,153,1349,1281,4.119383139785442,4638,True,18128
0.5,0.9,20290295,10,0.5392557732827803,0.54,1.0,2,156,1505,1435,5.6169831397854155,4950,True,20000
0.5,0.9,20290296,1,0.6993419954966986,0.7000000000000001,1.0,6,125,125,122,0.7680000000000037,878,True,2128
0.5,0.9,20290296,2,0.5663875446064999,0.5680000000000001,1.0,3,153,278,268,1.3452971519999997,1348,True,4128
0.5,0.9,20290296,3,0.545472896889099,0.546,1.0,3,153,431,415,1.524006048000006,1818,True,6128
0.5,0.9,20290296,4,0.553659907964257,0.554,1.0,3,153,584,558,1.8131099519999987,2288,True,8128
0.5,0.9,20290296,5,0.543037150008119,0.544,1.0,3,153,737,701,1.969507775999994,2758,True,10128
0.5,0.9,20290296,6,0.5413968890351128,0.542,1.0,3,153,890,849,2.1055333440000106,3228,True,12128
0.5,0.9,20290296,7,0.5452170900500326,0.546,1.0,3,153,1043,994,2.284242239999983,3698,True,14128
0.5,0.9,20290296,8,0.5406203259712672,0.542,1.0,3,153,1196,1137,2.4202678079999997,4168,True,16128
0.5,0.9,20290296,9,0.5429022105624195,0.544,1.0,3,153,1349,1282,2.576665632000029,4638,True,18128
0.5,0.9,20290296,10,0.5405445513221683,0.542,1.0,3,144,1493,1421,2.704689696000045,5070,True,20000
0.5,0.9,20290297,1,0.6780795109382056,0.68,1.0,5,133,133,122,1.2063002112000043,798,True,2128
0.5,0.9,20290297,2,0.620701642219889,0.622,1.0,4,142,275,259,1.961286229248012,1378,True,4128
0.5,0.9,20290297,3,0.563143539538715,0.5640000000000001,1.0,3,153,428,404,2.442582613247983,1848,True,6128
0.5,0.9,20290297,4,0.5456944592135784,0.546,1.0,3,153,581,552,2.621291509247955,2318,True,8128
0.5,0.9,20290297,5,0.5483657155431216,0.55,1.0,3,153,734,698,2.850791509247964,2788,True,10128
0.5,0.9,20290297,6,0.5386861147895659,0.54,1.0,2,166,900,854,4.444391509247936,3128,True,12128
0.5,0.9,20290297,7,0.5390077870497194,0.54,1.0,2,166,1066,1011,6.037991509247908,3468,True,14128
0.5,0.9,20290297,8,0.5385878256804202,0.54,1.0,2,166,1232,1164,7.63159150924788,3808,True,16128
0.5,0.9,20290297,9,0.5360680415236538,0.538,1.0,2,166,1398,1320,9.069815509247844,4148,True,18128
0.5,0.9,20290297,10,0.5329337388469177,0.534,1.0,2,156,1554,1464,10.151831509247783,4460,True,20000
0.5,0.9,20290298,1,0.6344582199550199,0.636,1.0,4,142,142,131,1.165883670527998,708,True,2128
0.5,0.9,20290298,2,0.5658430695830388,0.5660000000000001,1.0,3,153,295,280,1.6937263265279947,1178,True,4128
0.5,0.9,20290298,3,0.5550472326482696,0.556,1.0,3,153,448,422,2.0161573025280095,1648,True,6128
0.5,0.9,20290298,4,0.5491496241320164,0.55,1.0,3,153,601,567,2.245657302528018,2118,True,8128
0.5,0.9,20290298,5,0.5473557787345942,0.548,1.0,3,153,754,713,2.448704214528022,2588,True,10128
0.5,0.9,20290298,6,0.5468868360169696,0.548,1.0,3,153,907,858,2.6517511265280254,3058,True,12128
0.5,0.9,20290298,7,0.5423572380032162,0.544,1.0,3,153,1060,995,2.8081489505280546,3528,True,14128
0.5,0.9,20290298,8,0.538263487532666,0.54,1.0,2,166,1226,1155,4.4017489505280265,3868,True,16128
0.5,0.9,20290298,9,0.5363134182772977,0.538,1.0,2,166,1392,1312,5.839972950528101,4208,True,18128
0.5,0.9,20290298,10,0.5310608311526781,0.532,1.0,2,156,1548,1458,6.79843695052809,4520,True,20000
