persistence,rho,seed,joint_simultaneous_coverage,final_p_upper,final_rho_upper,collision_upper,hoeffding_radius,average_tv_bias,collision_trials,p_trials,d0_q,d0_gap,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_gap,d2_eta,d2_updates,d2_exact_radius
0.9,0.5,20310303,True,0.9063315462073496,0.8405031771933273,0.9202515885966637,0.13500086616708487,0.009250722429578796,500,15000,2,19,0.012302237612742503,689,0.9842483955053771,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310304,True,0.9104824200171082,0.8137787935843361,0.9068893967921681,0.13622021655838157,0.009444690437868088,490,15100,2,19,0.012490634553177907,689,0.9840128392898109,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310305,True,0.9079236532915143,0.8428142236958265,0.9214071118479132,0.13440420243153461,0.008785087634200339,505,14950,2,19,0.012302237612742503,689,0.9842483955053771,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310306,True,0.9090114013204835,0.8720732162488962,0.9360366081244481,0.13760332562556643,0.009289232394497554,479,15210,2,19,0.012366470439407124,689,0.9841680648050702,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310307,True,0.9135274890414145,0.8048782267963994,0.9024391133981997,0.1420409195962633,0.009277117568752652,446,15540,2,20,0.012790797780369572,666,0.9836351079171446,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310308,True,0.9098640908356475,0.7957990363051226,0.8978995181525613,0.13572823788030156,0.009134843025296225,494,15060,2,19,0.012418310756651797,689,0.9841032468780033,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310309,True,0.9095377403205984,0.7572673600987501,0.878633680049375,0.13323587183647462,0.009475478115813101,515,14850,4,19,0.013306201683270192,645,0.9829816934479192,1,19,0.027696738875806586,714,0.9645264249821328
0.9,0.5,20310310,True,0.9117247892076097,0.8064961150359269,0.9032480575179634,0.13876922162593192,0.009159686955861286,470,15300,2,19,0.012490634553177907,689,0.9840128392898109,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310311,True,0.907377223090464,0.7520079560858575,0.8760039780429287,0.13165370502216672,0.009000556574637204,529,14710,4,19,0.013223125449135778,645,0.9830853847499705,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310312,True,0.9101336924660963,0.828196324081961,0.9140981620409805,0.13500086616708487,0.009097295873895614,500,15000,2,19,0.012477492195409301,689,0.9840292658814446,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310313,True,0.9134499617660705,0.8561360295009648,0.9280680147504824,0.137475717086171,0.00934229766431135,480,15200,2,20,0.01276399703676278,666,0.9836685798852531,1,20,0.0277183378536651,689,0.9644919954814224
