seed_index,max_delay,regime,policy,regime_mse,oracle_regime_mse,normalized_regime_score
14,4,global,sparse_adaptive,0.031890134029737005,0.001112152981869906,28.674233266109564
14,4,mixed,sparse_adaptive,0.0008677761251026522,0.0027108493265737806,0.32011226761888206
14,16,independent,sparse_adaptive,0.0003811894185839422,8.917002193373468e-05,4.274860657399156
14,16,clustered,sparse_adaptive,0.0003292784592574166,5.093236922668647e-05,6.465013590706639
14,16,global,sparse_adaptive,0.0033395838960389224,0.0033622549769166997,0.9932571797697011
14,16,mixed,sparse_adaptive,0.0002912192764769672,0.004319747990176482,0.06741580229662182
15,4,independent,sparse_adaptive,0.0012410089966526452,5.676192772989109e-05,21.86340468488219
15,4,clustered,sparse_adaptive,0.0033826173704478804,0.00025477323378430314,13.276973095657615
15,4,global,sparse_adaptive,0.0461878110922067,0.04941707388389793,0.9346528934659676
15,4,mixed,sparse_adaptive,0.0029451164984624313,0.01401046592893163,0.21020831950925786
15,16,independent,sparse_adaptive,0.0003297138576548356,0.0011073025611399343,0.29776311301529473
15,16,clustered,sparse_adaptive,0.001399013456227577,0.0003357076581681274,4.1673563953281345
15,16,global,sparse_adaptive,0.04334773350919461,0.06373907975909504,0.6800809436381805
15,16,mixed,sparse_adaptive,0.003635662819627543,0.013542081464327537,0.2684714923037926
16,4,independent,sparse_adaptive,0.0005655630059768731,2.490802851525818e-05,22.70605261393611
16,4,clustered,sparse_adaptive,0.005533131053129936,0.00035090455920856387,15.768193680952606
16,4,global,sparse_adaptive,0.00620323964183733,0.004420102768421899,1.4034152522775076
16,4,mixed,sparse_adaptive,0.0037937440521565195,0.001240157983311257,3.0590812648136287
16,16,independent,sparse_adaptive,0.0012239087357410533,2.4262915153679446e-05,50.44359789369534
16,16,clustered,sparse_adaptive,0.0011815503849021494,0.0005687601400685943,2.0774141886237856
16,16,global,sparse_adaptive,0.03383863342405456,0.005021249769438825,6.739085880572789
16,16,mixed,sparse_adaptive,0.008027260836597458,0.008098939000993689,0.991149684620734
17,4,independent,sparse_adaptive,0.0015016830831175523,0.0012986671727389482,1.1563263587778494
17,4,clustered,sparse_adaptive,0.0007145917252993848,3.4011586893519464e-05,21.010243583651853
17,4,global,sparse_adaptive,0.05453015392284884,0.008223419316005726,6.631080311898188
17,4,mixed,sparse_adaptive,0.026722178152133947,0.0032098013544186884,8.325181281186627
17,16,independent,sparse_adaptive,0.0001780504706571545,0.0012172594254645469,0.14627158922117567
17,16,clustered,sparse_adaptive,0.0017154060926418868,0.00010120514197342799,16.94979187018261
17,16,global,sparse_adaptive,0.011180395627240951,0.006650940070663368,1.6810248639221033
17,16,mixed,sparse_adaptive,0.03176898023162946,0.0032538908319128383,9.763382323725253
18,4,independent,sparse_adaptive,0.0022906880159384176,0.0001798599390566703,12.735954587511937
18,4,clustered,sparse_adaptive,0.00188405407798212,0.0018995080827889168,0.9918642068718618
18,4,global,sparse_adaptive,0.029135513430512128,0.020822643962440917,1.3992225714979156
18,4,mixed,sparse_adaptive,0.0033046678242989783,0.013686125971464392,0.2414611579046707
18,16,independent,sparse_adaptive,0.0022951128030385534,0.0003223289594454525,7.1204052126968564
18,16,clustered,sparse_adaptive,0.0020159119232126222,0.0021694319711502994,0.9292349103455518
18,16,global,sparse_adaptive,0.007064435913531088,0.01585561673617373,0.44554784787487706
18,16,mixed,sparse_adaptive,0.0010673391138092182,0.00549629398276188,0.19419250810759614
19,4,independent,sparse_adaptive,0.00024187366429274433,3.582564039004148e-05,6.751412163450912
19,4,clustered,sparse_adaptive,0.0017851140397316966,0.00013019620023511274,13.710953441867558
19,4,global,sparse_adaptive,0.01606204355010745,0.010839992115264024,1.481739412659733
19,4,mixed,sparse_adaptive,0.010093788118126912,0.0002185011796632674,46.195577221516466
19,16,independent,sparse_adaptive,0.0003255916253145683,2.7016759252745277e-05,12.051468581727978
19,16,clustered,sparse_adaptive,0.001989723256256545,0.00016798474499879435,11.844666349142749
19,16,global,sparse_adaptive,0.029669302175715145,0.012631570080181332,2.3488214044163565
