path,strength,rho_global,rho_cluster,budget,error_amplitude,max_delay,overhead,selected_q,selected_eta,best_risk,runner_up_q,runner_up_risk,relative_margin,lrv_at_best_q,horizon_at_best_q
global,0.8,0.8,0.0,250,0.1,0,0,32.0,0.0025,0.011000755021618049,16.0,0.012030762975553005,0.09363066006931746,31.209374999999973,7.0
clustered,0.0,0.0,0.0,250,0.1,0,0,2.0,0.007384130729697496,0.003911403681667634,4.0,0.00392380840843408,0.0031714258552718445,0.7499999999999999,125.0
clustered,0.1,0.0,0.1,250,0.1,0,0,1.0,0.0031046445301837096,0.004270032017220156,2.0,0.004347090556493221,0.018046361002049618,1.7594166666666664,250.0
clustered,0.2,0.0,0.2,250,0.1,0,0,1.0,0.0031046445301837096,0.004588156144864108,2.0,0.004709722761284112,0.026495745258382913,2.0188333333333333,250.0
clustered,0.30000000000000004,0.0,0.30000000000000004,250,0.1,0,0,1.0,0.0025,0.004896288565375488,2.0,0.0050595223331209235,0.0333382654159227,2.27825,250.0
clustered,0.4,0.0,0.4,250,0.1,0,0,1.0,0.0025,0.00512808929334833,2.0,0.005322709018987397,0.03795170374500095,2.537666666666666,250.0
clustered,0.5,0.0,0.5,250,0.1,0,0,1.0,0.0025,0.005359890021321171,2.0,0.00558589570485387,0.04216610464648865,2.7970833333333327,250.0
clustered,0.6000000000000001,0.0,0.6000000000000001,250,0.1,0,0,1.0,0.0025,0.005591690749294015,2.0,0.005830563504148146,0.04271923565949902,3.0564999999999998,250.0
clustered,0.7000000000000001,0.0,0.7000000000000001,250,0.1,0,0,1.0,0.0025,0.005823491477266856,2.0,0.006018303436179467,0.03345277651269812,3.315916666666666,250.0
clustered,0.8,0.0,0.8,250,0.1,0,0,1.0,0.0025,0.006055292205239699,2.0,0.006206043368210787,0.024895770156333968,3.5753333333333326,250.0
balanced,0.0,0.0,0.0,250,0.1,0,0,2.0,0.007384130729697496,0.003911403681667634,4.0,0.00392380840843408,0.0031714258552718445,0.7499999999999999,125.0
balanced,0.1,0.05,0.05,250,0.1,0,0,1.0,0.0025,0.005364916217639246,2.0,0.0064192600916516355,0.19652569233902004,2.802708333333332,250.0
balanced,0.2,0.1,0.1,250,0.1,0,0,1.0,0.0025,0.006528946053821531,2.0,0.007454565904816562,0.14177171068112063,4.105416666666665,250.0
balanced,0.30000000000000004,0.15000000000000002,0.15000000000000002,250,0.1,0,0,1.0,0.0025,0.0076929758900038175,2.0,0.008289319882958796,0.07751798543004179,5.408124999999997,250.0
balanced,0.4,0.2,0.2,250,0.1,0,0,1.0,0.0025,0.008857005726186102,2.0,0.009124073861101029,0.030153320791622504,6.71083333333333,250.0
balanced,0.5,0.25,0.25,250,0.1,0,0,2.0,0.0025,0.009958827839243262,1.0,0.010021035562368387,0.0062464904634652865,7.919278637703775,125.0
balanced,0.6000000000000001,0.30000000000000004,0.30000000000000004,250,0.1,0,0,32.0,0.0025,0.010179028762034819,16.0,0.010348444795279412,0.016643634398251412,12.143799752861593,7.0
balanced,0.7000000000000001,0.35000000000000003,0.35000000000000003,250,0.1,0,0,32.0,0.0025,0.010265925001293067,16.0,0.010525676915816923,0.025302338999275673,14.159953878338525,7.0
balanced,0.8,0.4,0.4,250,0.1,0,0,32.0,0.0025,0.010352821240551313,16.0,0.010702909036354435,0.03381569020354098,16.176108003815457,7.0
global,0.0,0.0,0.0,250,0.3,0,0,8.0,0.06441961327797016,0.00758949947378582,4.0,0.0076157348084508365,0.0034567937919534114,0.18749999999999997,31.0
