task,mixing,rho,delay_trace,budget,best_fixed_policy,best_fixed_q,policy,nominal_q,geometric_terminal_prediction_mse,geometric_terminal_error_ratio_to_best_fixed,cvar90_terminal_prediction_mse,mean_message_bytes,mean_environment_steps,mean_agent_transitions,mean_wall_seconds,seeds
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,oracle_evaluation_only,,836.2568858248223,26.739329703291475,852.1729125976562,169902080.0,1024.0,32768.0,0.705846088938415,2
acrobot,fast_regeneration,0.9,zero,environment_binding,single_agent,1,single_agent,1,31.274414695663946,1.0,31.47681427001953,86249472.0,1024.0,1024.0,0.9191535540157929,2
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,always_all,32,909.1891969077678,29.12016303425118,920.968505859375,134063360.0,202.0,6464.0,0.40666622051503504,2
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,fixed_q16,16,463.9209786112349,14.858793503173327,506.48095703125,134175744.0,368.0,5888.0,0.43768060451839114,2
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,fixed_q32,32,909.1891969077678,29.12016303425118,920.968505859375,134063360.0,202.0,6464.0,0.40570181293878704,2
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,fixed_q4,4,33.757286887633796,1.081202571593696,34.61921691894531,134130624.0,956.0,3824.0,0.902096234029159,2
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,oracle_evaluation_only,,32.96472129982501,1.0558177130726918,34.88373947143555,134027136.0,4096.0,14176.0,1.7394302944885567,2
acrobot,fast_regeneration,0.9,zero,message_binding,single_agent,1,single_agent,1,31.221981684593526,1.0,31.354881286621094,134175204.0,1593.0,1593.0,1.4251413989113644,2
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,always_all,32,33.93711011991759,1.007401927463244,35.62905502319336,536253440.0,808.0,25856.0,3.381962165469304,2
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,fixed_q16,16,33.68775579512262,1.0,35.79582214355469,373358592.0,1024.0,16384.0,3.38096298603341,2
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,fixed_q32,32,33.93711011991759,1.007401927463244,35.62905502319336,536253440.0,808.0,25856.0,3.3836287263548,2
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,fixed_q4,4,33.96196134759045,1.008139620642451,36.31415557861328,143671296.0,1024.0,4096.0,2.1954282075166707,2
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,oracle_evaluation_only,,682.5766377377986,20.261861368533886,756.4566650390625,169902080.0,1024.0,32768.0,2.164601369877346,2
acrobot,slow_regeneration,0.0,edge_jitter,environment_binding,fixed_q16,16,single_agent,1,34.36104446352099,1.0199861537970378,35.864498138427734,86249472.0,1024.0,1024.0,0.8736704860348254,2
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,always_all,32,823.5806408650946,24.386740707236573,858.9315185546875,134063360.0,202.0,6464.0,0.8498727739788592,2
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,fixed_q16,16,167.376823754617,4.956133010869653,302.71197509765625,134175744.0,368.0,5888.0,1.2222419123863801,2
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,fixed_q32,32,823.5806408650946,24.386740707236573,858.9315185546875,134063360.0,202.0,6464.0,0.8526788759045303,2
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,fixed_q4,4,33.7716569324372,1.0,35.837589263916016,134130624.0,956.0,3824.0,2.0568597960518673,2
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,oracle_evaluation_only,,33.79349725048241,1.0006467055522001,35.496524810791016,134189892.0,3936.0,14916.0,6.324307920993306,2
acrobot,slow_regeneration,0.0,edge_jitter,message_binding,fixed_q4,4,single_agent,1,35.191291185017576,1.042036262994749,35.377281188964844,134175204.0,1593.0,1593.0,1.367408533464186,2
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,always_all,32,34.131285735601516,1.0087750459864813,35.64772033691406,536253440.0,808.0,25856.0,5.411129898624495,2
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,fixed_q16,16,33.834387429979024,1.0,36.11251449584961,373358592.0,1024.0,16384.0,5.651722530485131,2
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,fixed_q32,32,34.131285735601516,1.0087750459864813,35.64772033691406,536253440.0,808.0,25856.0,5.396558853564784,2
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,fixed_q4,4,34.39293335827044,1.0165082323256875,37.295169830322266,143671296.0,1024.0,4096.0,2.7588290225248784,2
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,oracle_evaluation_only,,713.3228909459207,21.08277835448203,778.474365234375,169902080.0,1024.0,32768.0,3.076433320064098,2
acrobot,slow_regeneration,0.0,wan_bursty,environment_binding,fixed_q16,16,single_agent,1,35.74111758001656,1.0563548003930483,38.82974243164063,86249472.0,1024.0,1024.0,0.8845211470033973,2
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,always_all,32,838.4523095920238,25.48512778025075,869.6483154296875,134063360.0,202.0,6464.0,1.3500533010810614,2
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,fixed_q16,16,210.29144749732245,6.391901303451473,359.3612060546875,134175744.0,368.0,5888.0,2.026279810932465,2
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,fixed_q32,32,838.4523095920238,25.48512778025075,869.6483154296875,134063360.0,202.0,6464.0,1.3551717714872211,2
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,fixed_q4,4,33.81245435871997,1.0277444644587719,35.87712097167969,134130624.0,956.0,3824.0,2.572316411533393,2
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,oracle_evaluation_only,,33.965621721376145,1.0324000540068,35.6768798828125,134188980.0,3904.0,15028.0,7.935214597033337,2
acrobot,slow_regeneration,0.0,wan_bursty,message_binding,single_agent,1,single_agent,1,32.899670616592616,1.0,34.7744140625,134175204.0,1593.0,1593.0,1.3711549900472164,2
acrobot,slow_regeneration,0.0,zero,environment_binding,fixed_q16,16,always_all,32,33.95974397337885,1.0108171191423165,35.75851058959961,536253440.0,808.0,25856.0,1.622020085924305,2
acrobot,slow_regeneration,0.0,zero,environment_binding,fixed_q16,16,fixed_q16,16,33.59632848540779,1.0,35.6019172668457,373358592.0,1024.0,16384.0,1.2235950945178047,2
