persistence,rho,maximum_delay,policy,q,gap,eta,checkpoint,resource_fraction,parameter_mean,parameter_std,return_mean,return_std,seeds,parameter_ci95,return_ci95
0.0,0.0,0,joint,16,64,0.0102631531302343,25,0.62409375,0.0023956065923656125,0.002191654382641731,0.03781532700301599,0.04734449485898331,64,0.0005369553237472241,0.01159940124045091
0.0,0.0,0,joint,16,64,0.0102631531302343,26,0.64903125,0.002319504728161797,0.0020904435749334455,0.037781455396200606,0.05256019575426904,64,0.0005121586758586942,0.012877247959795914
0.0,0.0,0,joint,16,64,0.0102631531302343,27,0.674625,0.0025976265125287282,0.0025477484488948352,0.04129149598546229,0.05499596695036883,64,0.0006241983699792346,0.013474011902840364
0.0,0.0,0,joint,16,64,0.0102631531302343,28,0.6995625,0.002628374213828367,0.002586462735533858,0.04525569239829953,0.06724614414762468,64,0.0006336833702057952,0.016475305316168046
0.0,0.0,0,joint,16,64,0.0102631531302343,29,0.7245,0.002617388334288092,0.0025687021212183977,0.0488768357454884,0.06817316640036715,64,0.0006293320196985074,0.016702425768089953
0.0,0.0,0,joint,16,64,0.0102631531302343,30,0.7494375,0.0028426231250319564,0.0025830238128428124,0.04689329059896713,0.05494420938097006,64,0.000632840834146489,0.013461331298337665
0.0,0.0,0,joint,16,64,0.0102631531302343,31,0.774375,0.002948100425715158,0.002479675557065035,0.049276480252679264,0.06112163195324051,64,0.0006075205114809335,0.014974799828543925
0.0,0.0,0,joint,16,64,0.0102631531302343,32,0.7993125,0.002760861403220792,0.0024176753079957953,0.04465042997063203,0.05727459040580924,64,0.0005923304504589699,0.014032274649423264
0.0,0.0,0,joint,16,64,0.0102631531302343,33,0.82425,0.0025002479908134844,0.002238744951694666,0.03735643492599319,0.03940798653924923,64,0.0005484925131651932,0.00965495670211606
0.0,0.0,0,joint,16,64,0.0102631531302343,34,0.8491875,0.0020912327232210128,0.001796942456830083,0.037948132860455265,0.051016946934373864,64,0.00044025090192337035,0.012499151998921596
0.0,0.0,0,joint,16,64,0.0102631531302343,35,0.874125,0.0022138259436408365,0.0021552723719711953,0.03876295010100277,0.051280793165800496,64,0.0005280417311329429,0.012563794325621122
0.0,0.0,0,joint,16,64,0.0102631531302343,36,0.8990625,0.002220540102497583,0.002027282427387422,0.04115453310032993,0.05364393491171346,64,0.0004966841947099184,0.013142764053369798
0.0,0.0,0,joint,16,64,0.0102631531302343,37,0.924,0.0022364206743724765,0.002337363928460245,0.041164832634503816,0.04986384090092139,64,0.0005726541624727601,0.012216641020725741
0.0,0.0,0,joint,16,64,0.0102631531302343,38,0.9489375,0.0022266670499003676,0.0021082086453837437,0.03903623504761297,0.046297511365766784,64,0.0005165111181190172,0.011342890284612862
0.0,0.0,0,joint,16,64,0.0102631531302343,39,0.973875,0.002187004732234489,0.0020214985160955878,0.03426023600723341,0.043850825005579984,64,0.000495267136443419,0.010743452126367096
0.0,0.0,0,joint,16,64,0.0102631531302343,40,0.99946875,0.0020889735735006715,0.001807605918823854,0.037686011725234184,0.0399517967916904,64,0.0004428634501118442,0.009788190213964147
0.0,0.0,0,q1,1,50,0.0019433899032881,0,0.0,1.0,0.0,1.0,0.0,64,0.0,0.0
0.0,0.0,0,q1,1,50,0.0019433899032881,1,0.024921875,0.8887530741076887,0.01450737009473075,0.734084218348293,0.07112061369371742,64,0.0035543056732090334,0.017424550354960766
0.0,0.0,0,q1,1,50,0.0019433899032881,2,0.04984375,0.7945917328943759,0.01817038321979296,0.5316890250525997,0.0781816186300473,64,0.004451743888849275,0.01915449656436159
0.0,0.0,0,q1,1,50,0.0019433899032881,3,0.074765625,0.7113628423388934,0.017425834209150018,0.37320577173730013,0.0777613110672755,64,0.004269329381241754,0.019051521211482497
0.0,0.0,0,q1,1,50,0.0019433899032881,4,0.0996875,0.6377252572676244,0.01803508682612635,0.2708274906689366,0.07846148866456841,64,0.004418596272400955,0.01922306472281926
0.0,0.0,0,q1,1,50,0.0019433899032881,5,0.124609375,0.5719770352325418,0.018383913287003822,0.18788365095753953,0.06806984722782684,64,0.0045040587553159366,0.016677112570817575
0.0,0.0,0,q1,1,50,0.0019433899032881,6,0.1499609375,0.5128839088077213,0.018630459168626153,0.1347509792947868,0.05947795475221956,64,0.004564462496313407,0.014572098914293792
0.0,0.0,0,q1,1,50,0.0019433899032881,7,0.1748828125,0.459263458774533,0.01817607807160813,0.09452471579875575,0.047548632821609135,64,0.004453139127543992,0.011649415041294239
0.0,0.0,0,q1,1,50,0.0019433899032881,8,0.1998046875,0.41158840798362123,0.016934296469152364,0.06209893386449668,0.039062627873688374,64,0.004148902634942329,0.00957034382905365
0.0,0.0,0,q1,1,50,0.0019433899032881,9,0.2247265625,0.3705967816850222,0.017005942983878142,0.04038963618079927,0.033722517951691885,64,0.004166456031050145,0.008262016898164512
0.0,0.0,0,q1,1,50,0.0019433899032881,10,0.2496484375,0.33415212566867647,0.016443544473160144,0.027009890959206865,0.027957634566145424,64,0.004028668395924235,0.006849620468705629
0.0,0.0,0,q1,1,50,0.0019433899032881,11,0.2745703125,0.30075995610731127,0.014216772663991115,0.01968344527939616,0.025105553479620638,64,0.003483109302677823,0.006150860602507056
0.0,0.0,0,q1,1,50,0.0019433899032881,12,0.299921875,0.2699601437212025,0.014798016945934193,0.013599816338127589,0.017609606471947446,64,0.003625514151753877,0.004314353585627124
0.0,0.0,0,q1,1,50,0.0019433899032881,13,0.32484375,0.2422626694801072,0.014074324589113334,0.012702123545125541,0.01752387304682405,64,0.0034482095243327667,0.004293348896471892
0.0,0.0,0,q1,1,50,0.0019433899032881,14,0.349765625,0.217892684621624,0.013203301122952999,0.014034576939375125,0.017366269445514556,64,0.0032348087751234845,0.004254736014151066
0.0,0.0,0,q1,1,50,0.0019433899032881,15,0.3746875,0.19640089386073156,0.01304252363551403,0.016066349103084236,0.01950858813570572,64,0.0031954182907009375,0.004779604093247901
0.0,0.0,0,q1,1,50,0.0019433899032881,16,0.399609375,0.17606096737341878,0.01350019394005729,0.019251494245617826,0.02249717780938595,64,0.003307547515314036,0.005511808563299558
0.0,0.0,0,q1,1,50,0.0019433899032881,17,0.42453125,0.15762076005592537,0.011954768649940566,0.021999941911081997,0.02431258275287427,64,0.0029289183192354384,0.005956582774454195
0.0,0.0,0,q1,1,50,0.0019433899032881,18,0.4498828125,0.1405770034056118,0.01158709682761155,0.02604299960741308,0.025707399831283412,64,0.00283883872276483,0.0062983129586644355
0.0,0.0,0,q1,1,50,0.0019433899032881,19,0.4748046875,0.12674322506577107,0.011062791267591373,0.024938570659420962,0.029859233249443805,64,0.0027103838605598866,0.007315512146113732
0.0,0.0,0,q1,1,50,0.0019433899032881,20,0.4997265625,0.11460351226634802,0.011383460453745423,0.025399359389157484,0.03245770314639042,64,0.0027889478111676287,0.007952137270865653
0.0,0.0,0,q1,1,50,0.0019433899032881,21,0.5246484375,0.10386339564032263,0.011176449722965758,0.02896735788219449,0.03478850785990132,64,0.0027382301821266106,0.008523184425675824
0.0,0.0,0,q1,1,50,0.0019433899032881,22,0.5495703125,0.09347787008821688,0.011135045138733394,0.030470162803909094,0.03877304749251996,64,0.0027280860589896814,0.00949939663566739
0.0,0.0,0,q1,1,50,0.0019433899032881,23,0.574921875,0.08367604914008679,0.01108741812642509,0.033428307052299926,0.04215147237613889,64,0.002716417440974147,0.010327110732154029
0.0,0.0,0,q1,1,50,0.0019433899032881,24,0.59984375,0.07621682303782251,0.010659256116423505,0.03487093267016357,0.04100588138311641,64,0.002611517748523759,0.01004644093886352
0.0,0.0,0,q1,1,50,0.0019433899032881,25,0.624765625,0.0692436417451091,0.01047260647826231,0.036861430288962944,0.04545543238856201,64,0.002565788587174266,0.011136580935197694
0.0,0.0,0,q1,1,50,0.0019433899032881,26,0.6496875,0.06289997420105942,0.00974519982092904,0.04288336405412193,0.049982070116882105,64,0.0023875739561276146,0.012245607178636115
0.0,0.0,0,q1,1,50,0.0019433899032881,27,0.674609375,0.05722452714766856,0.009566079674165638,0.044928863976207475,0.0596193793509379,64,0.0023436895201705815,0.014606747940979785
0.0,0.0,0,q1,1,50,0.0019433899032881,28,0.69953125,0.05196967680449984,0.0093182972695317,0.04302191008037819,0.05324035271593395,64,0.0022829828310352665,0.013043886415403817
0.0,0.0,0,q1,1,50,0.0019433899032881,29,0.7248828125,0.046951654999969096,0.00896115040450864,0.04981691721918259,0.0660595354335729,64,0.0021954818491046165,0.016184586181225362
0.0,0.0,0,q1,1,50,0.0019433899032881,30,0.7498046875,0.04177579579109343,0.008625948615176009,0.04212453082635096,0.05530764960692215,64,0.002113357410718122,0.013550374153695926
0.0,0.0,0,q1,1,50,0.0019433899032881,31,0.7747265625,0.03790129222557468,0.008261521441835224,0.04007564720691717,0.05881431584068683,64,0.00202407275324963,0.014409507380968273
