persistence,num_agents,rho,maximum_delay,target_fraction,gap,pair_delta,joint_delta,curvature,monotonicity,lipschitz,effective_monotonicity,effective_curvature,rms_delay,maximum_actual_delay,omega,innovation_bound,initial_error,update_cost,updates,resource_budget,eta,affine_boundary,a_delta,beta_delta,h_delay,g_delay,young_lambda,contraction,forcing,residual,blocks,finite_time_bound
0.0,4,0.0,0,0.5,46,0.0005848353627195289,0.0029241768135976447,3.3389520242634765,0.10000000000000003,7.412688455006394,0.056647976586894744,3.660307067718969,0.0,0,0.37600406610990217,4.060351299511963,0.696136173289883,54,2370,128000,0.002365314512275454,0.007738145398576245,0.9999069664520706,2.8831152899888682e-05,0.0,0.0,0.0,0.9999069664520706,2.8831152899888682e-05,0.3099006061958851,2370,0.6197070399085693
0.0,4,0.0,0,0.75,43,0.0009326817580449679,0.0046634087902248395,3.3389520242634765,0.10000000000000003,7.412688455006394,0.030863206999450027,3.8514415315548205,0.0,0,0.37600406610990217,4.060351299511963,0.696136173289883,51,2509,128000,7.711579349358182e-11,0.004006708494283017,0.9999999999976199,3.583409711583932e-12,0.0,0.0,0.0,0.9999999999976199,3.583409711583932e-12,1.505573527549698,2509,1.505573527549698
0.0,8,0.0,0,0.1,60,6.623706651910611e-05,0.000596133598671955,2.3778285846336367,0.10000000000000003,7.412688455006394,0.09116209471096601,2.443341223136099,0.0,0,0.18800203305495108,4.060351299511963,0.696136173289883,72,1777,128000,0.007909238768967902,0.018655211529144046,0.9995846688163218,2.801383682457072e-05,0.0,0.0,0.0,0.9995846688163218,2.801383682457072e-05,0.06744939442417539,1777,0.36794596567306126
0.0,8,0.0,0,0.25,54,0.00016846153382633954,0.0015161538044370557,2.3778285846336367,0.10000000000000003,7.412688455006394,0.07752244839567086,2.544447671907858,0.0,0,0.18800203305495108,4.060351299511963,0.696136173289883,66,1939,128000,0.006207322877318647,0.01523364957581206,0.9997148726328916,3.0478324470244213e-05,0.0,0.0,0.0,0.9997148726328916,3.0478324470244213e-05,0.10689371833836431,1939,0.445858746194616
0.0,8,0.0,0,0.5,49,0.00036671933100724,0.00330047397906516,2.3778285846336367,0.10000000000000003,7.412688455006394,0.05106922927866938,2.740537143854209,0.0,0,0.18800203305495108,4.060351299511963,0.696136173289883,61,2098,128000,0.0023604819176032787,0.009317375864287769,0.9999099918678991,3.6511076879703866e-05,0.0,0.0,0.0,0.9999099918678991,3.6511076879703866e-05,0.4056419795354499,2098,0.6461462939943567
0.0,8,0.0,0,0.75,47,0.000500572545289632,0.004505152907606689,2.3778285846336367,0.10000000000000003,7.412688455006394,0.03320941010749086,2.8729264192329063,0.0,0,0.18800203305495108,4.060351299511963,0.696136173289883,59,2169,128000,6.20428821391724e-11,0.005779718179546103,0.9999999999979395,2.5005588877242336e-12,0.0,0.0,0.0,0.9999999999979395,2.5005588877242336e-12,1.213590826550228,2169,1.213590826550228
0.0,16,0.0,0,0.1,64,3.5549594395554215e-05,0.0006043431047244217,1.8972676907220358,0.10000000000000003,7.412688455006394,0.09104038568949316,1.9636825202828403,0.0,0,0.09400101652747554,4.060351299511963,0.696136173289883,84,1523,128000,0.010263155128331822,0.023181034803012937,0.9994793170002774,2.6715797028368903e-05,0.0,0.0,0.0,0.9994793170002774,2.6715797028368903e-05,0.05130914019201777,1523,0.3430235817666552
0.0,16,0.0,0,0.25,58,9.041371420756398e-05,0.0015370331415285876,1.8972676907220358,0.10000000000000003,7.412688455006394,0.0772129043536577,2.066181331542804,0.0,0,0.09400101652747554,4.060351299511963,0.696136173289883,78,1641,128000,0.007868870046534394,0.018684929336768463,0.9996482939320269,3.37943787968463e-05,0.0,0.0,0.0,0.9996482939320269,3.37943787968463e-05,0.09608699386850807,1641,0.43297833304937783
0.0,16,0.0,0,0.5,53,0.00019681915438076608,0.0033459256244730232,1.8972676907220358,0.10000000000000003,7.412688455006394,0.05039539150431756,2.264971199433093,0.0,0,0.09400101652747554,4.060351299511963,0.696136173289883,73,1753,128000,0.002780055107166837,0.01112495194572961,0.9998949086292754,4.388534406769983e-05,0.0,0.0,0.0,0.9998949086292754,4.388534406769983e-05,0.41759227008961447,1753,0.649268499667796
0.0,16,0.0,0,0.75,51,0.0002686584979512118,0.004567194465170601,1.8972676907220358,0.10000000000000003,7.412688455006394,0.03228962063252161,2.3991836381434464,0.0,0,0.09400101652747554,4.060351299511963,0.696136173289883,71,1802,128000,9.444916445415814e-11,0.0067292932727533415,0.9999999999969502,4.0236611260643194e-12,0.0,0.0,0.0,0.9999999999969502,4.0236611260643194e-12,1.3193271749551088,1802,1.3193271749551088
