seed,seed_index,persistence,rho,maximum_delay,policy,num_agents,gap,eta,updates,finite_time_bound,squared_parameter_error,maximum_squared_error,diverged,finite,charged_budget,within_budget
20261148,18,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,2.6242761152235956,16.154218238863052,False,True,127273,True
20261148,18,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,2.6242761152235956,16.154218238863052,False,True,127273,True
20261148,18,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.781666758936197,16.80461152150593,False,True,127596,True
20261149,19,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.8141611249316768,16.26984035449227,False,True,127730,True
20261149,19,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.437052964965784,16.76385944436746,False,True,127273,True
20261149,19,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,0.615542211516518,16.18907056538426,False,True,127596,True
20261149,19,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,3.480620002904198,16.588906084676097,False,True,127273,True
20261149,19,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.480620002904198,16.588906084676097,False,True,127273,True
20261149,19,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,4.374676895723825,16.559651492523233,False,True,127596,True
20261149,19,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,1.2175873151433176,16.313166058826376,False,True,127368,True
20261149,19,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.437052964965784,16.76385944436746,False,True,127273,True
20261149,19,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.78410451006625,16.80510731101137,False,True,127596,True
20261149,19,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,3.480620002904198,16.588906084676097,False,True,127273,True
20261149,19,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.480620002904198,16.588906084676097,False,True,127273,True
20261149,19,0.98,0.9,8,q32,32,1266,5.6734676540672174e-05,98,16.805142572399127,16.782777093135856,16.805098412055447,False,True,127596,True
20261150,20,0.98,0.0,0,joint,16,1185,0.1332359122573404,106,8.906728318451414,0.5910487739427684,16.419063366709352,False,True,127730,True
20261150,20,0.98,0.0,0,q1,1,924,0.05033028850329991,137,12.342447380399843,3.1341056348664735,16.72496873185336,False,True,127273,True
20261150,20,0.98,0.0,0,q32,32,1266,0.14223107951442632,98,8.980149041189279,1.2792871492199978,16.302317711644744,False,True,127596,True
20261150,20,0.98,0.9,0,joint,1,924,0.05033028850329991,137,12.342447380399843,2.9510937013725327,16.588906084676097,False,True,127273,True
20261150,20,0.98,0.9,0,q1,1,924,0.05033028850329991,137,12.342447380399843,2.9510937013725327,16.588906084676097,False,True,127273,True
20261150,20,0.98,0.9,0,q32,32,1266,0.05456462596119015,98,13.229314009303925,4.687736063211701,16.574890559057394,False,True,127596,True
20261150,20,0.98,0.0,8,joint,4,1036,0.09976535499448831,122,9.731669466781105,0.874877476775056,16.380537347160953,False,True,127368,True
20261150,20,0.98,0.0,8,q1,1,924,0.05033028850329991,137,12.342447380399843,3.1341056348664735,16.72496873185336,False,True,127273,True
20261150,20,0.98,0.0,8,q32,32,1266,5.6771459946438414e-05,98,16.80514243398927,16.784976581911664,16.805153302498386,False,True,127596,True
20261150,20,0.98,0.9,8,joint,1,924,0.05033028850329991,137,12.342447380399843,2.9510937013725327,16.588906084676097,False,True,127273,True
20261150,20,0.98,0.9,8,q1,1,924,0.05033028850329991,137,12.342447380399843,2.9510937013725327,16.588906084676097,False,True,127273,True
