seed,seed_index,rho,max_delay,num_agents,eta,budget,squared_parameter_error,updates,update_cost,charged_budget,finite
20260930,0,0.0,0,16,0.03853969935995983,32000,0.007296373104327279,1600,20,32000,True
20260930,0,0.0,0,16,0.05552635364218317,2000,0.12631138782194729,100,20,2000,True
20260930,0,0.0,0,16,0.05552635364218317,8000,0.035289211517071616,400,20,8000,True
20260930,0,0.0,0,16,0.05552635364218317,32000,0.010339336237106273,1600,20,32000,True
20260930,0,0.0,0,16,0.08,2000,0.05875687081084843,100,20,2000,True
20260930,0,0.0,0,16,0.08,8000,0.07479259041046102,400,20,8000,True
20260930,0,0.0,0,16,0.08,32000,0.01353009260262555,1600,20,32000,True
20260930,0,0.0,0,32,0.001,2000,2.371986999435996,55,36,1980,True
20260930,0,0.0,0,32,0.001,8000,2.1680669642654853,222,36,7992,True
20260930,0,0.0,0,32,0.001,32000,1.530126492912344,888,36,31968,True
20260930,0,0.0,0,32,0.0014407573116637057,2000,2.3395278736280694,55,36,1980,True
20260930,0,0.0,0,32,0.0014407573116637057,8000,2.0558922289428807,222,36,7992,True
20260930,0,0.0,0,32,0.0014407573116637057,32000,1.250186060392537,888,36,31968,True
20260930,0,0.0,0,32,0.0020757816311124263,2000,2.293567942473329,55,36,1980,True
20260930,0,0.0,0,32,0.0020757816311124263,8000,1.904945963930298,222,36,7992,True
20260930,0,0.0,0,32,0.0020757816311124263,32000,0.9387320493968101,888,36,31968,True
20260930,0,0.0,0,32,0.002990697562442441,2000,2.2289850725144644,55,36,1980,True
20260930,0,0.0,0,32,0.002990697562442441,8000,1.7076867009567325,222,36,7992,True
20260930,0,0.0,0,32,0.002990697562442441,32000,0.6266123171366339,888,36,31968,True
20260930,0,0.0,0,32,0.004308869380063765,2000,2.139217886168155,55,36,1980,True
20260930,0,0.0,0,32,0.004308869380063765,8000,1.460352125102909,222,36,7992,True
20260930,0,0.0,0,32,0.004308869380063765,32000,0.3558422756566278,888,36,31968,True
20260930,0,0.0,0,32,0.006208035064330728,2000,2.016378053431145,55,36,1980,True
20260930,0,0.0,0,32,0.006208035064330728,8000,1.1677431711892399,222,36,7992,True
20260930,0,0.0,0,32,0.006208035064330728,32000,0.16322616118252067,888,36,31968,True
