rho,max_delay,budget,num_agents,eta,mean_error
0.0,32,8000,8,0.018566355334451116,0.023080461066905315
0.0,32,8000,16,0.03853969935995983,0.015434905990025116
0.0,32,8000,32,0.05552635364218317,0.011226820491296802
0.0,32,32000,1,0.0020757816311124263,0.018484087459228703
0.0,32,32000,2,0.002990697562442441,0.01057873811500261
0.0,32,32000,4,0.004308869380063765,0.008671484415877622
0.0,32,32000,8,0.006208035064330728,0.005806703239031328
0.0,32,32000,16,0.012886525151839582,0.004342873765184074
0.0,32,32000,32,0.018566355334451116,0.005168374831774271
0.25,0,2000,1,0.026749612199056874,0.16374191158863752
0.25,0,2000,2,0.026749612199056874,0.13809443384440107
0.25,0,2000,4,0.03853969935995983,0.119045559111367
0.25,0,2000,8,0.05552635364218317,0.17119925704984587
0.25,0,2000,16,0.08,0.18695762090782658
0.25,0,2000,32,0.08,0.38041921777359466
0.25,0,8000,1,0.006208035064330728,0.061419312424596015
0.25,0,8000,2,0.008944271909999161,0.044412573584002295
0.25,0,8000,4,0.012886525151839582,0.045848349136533774
0.25,0,8000,8,0.018566355334451116,0.056755112850531274
0.25,0,8000,16,0.026749612199056874,0.0696594095340474
0.25,0,8000,32,0.03853969935995983,0.09791959626435437
0.25,0,32000,1,0.0020757816311124263,0.01982116803383395
0.25,0,32000,2,0.002990697562442441,0.01742566423708342
0.25,0,32000,4,0.004308869380063765,0.016636008510687417
0.25,0,32000,8,0.006208035064330728,0.015749386126183904
0.25,0,32000,16,0.008944271909999161,0.02282602006776878
0.25,0,32000,32,0.012886525151839582,0.03639239899207624
0.25,8,2000,1,0.026749612199056874,0.16374191158863752
0.25,8,2000,2,0.026749612199056874,0.13809443384440107
0.25,8,2000,4,0.03853969935995983,0.119045559111367
0.25,8,2000,8,0.05552635364218317,0.17079145021967412
0.25,8,2000,16,0.08,0.18675142459721306
0.25,8,2000,32,0.08,0.34461118962145576
0.25,8,8000,1,0.006208035064330728,0.061419312424596015
0.25,8,8000,2,0.008944271909999161,0.044412573584002295
0.25,8,8000,4,0.012886525151839582,0.045848349136533774
0.25,8,8000,8,0.018566355334451116,0.056702313493345646
0.25,8,8000,16,0.026749612199056874,0.06896049494382052
0.25,8,8000,32,0.03853969935995983,0.09551865053660513
0.25,8,32000,1,0.0020757816311124263,0.01982116803383395
0.25,8,32000,2,0.002990697562442441,0.01742566423708342
0.25,8,32000,4,0.004308869380063765,0.016636008510687417
0.25,8,32000,8,0.006208035064330728,0.01573225757922961
0.25,8,32000,16,0.008944271909999161,0.022874720479787666
0.25,8,32000,32,0.012886525151839582,0.03587507739745734
0.25,32,2000,1,0.026749612199056874,0.16374191158863752
0.25,32,2000,2,0.026749612199056874,0.13809443384440107
0.25,32,2000,4,0.03853969935995983,0.11963841205108215
0.25,32,2000,8,0.05552635364218317,0.1723681607101108
0.25,32,2000,16,0.08,0.19054881875374652
0.25,32,2000,32,0.08,0.29302481812564196
0.25,32,8000,1,0.006208035064330728,0.061419312424596015
0.25,32,8000,2,0.008944271909999161,0.044412573584002295
0.25,32,8000,4,0.012886525151839582,0.04574632448524131
0.25,32,8000,8,0.018566355334451116,0.056581654461532876
0.25,32,8000,16,0.026749612199056874,0.06833806239899555
0.25,32,8000,32,0.03853969935995983,0.09412526485615201
0.25,32,32000,1,0.0020757816311124263,0.01982116803383395
0.25,32,32000,2,0.002990697562442441,0.01742566423708342
0.25,32,32000,4,0.004308869380063765,0.01663886618428912
0.25,32,32000,8,0.006208035064330728,0.015716131315584508
0.25,32,32000,16,0.008944271909999161,0.023113031882301315
0.25,32,32000,32,0.012886525151839582,0.035272165677959856
0.5,0,2000,1,0.018566355334451116,0.1763933065548183
0.5,0,2000,2,0.026749612199056874,0.1534285888669435
0.5,0,2000,4,0.03853969935995983,0.18422635536470358
0.5,0,2000,8,0.03853969935995983,0.27154108430965124
0.5,0,2000,16,0.08,0.29965246133567625
0.5,0,2000,32,0.08,0.4981133557001796
0.5,0,8000,1,0.006208035064330728,0.05686370087561084
0.5,0,8000,2,0.008944271909999161,0.05411910088981349
0.5,0,8000,4,0.012886525151839582,0.06474782772294668
0.5,0,8000,8,0.018566355334451116,0.09215292210273449
0.5,0,8000,16,0.026749612199056874,0.11246343579743237
0.5,0,8000,32,0.03853969935995983,0.15121873785911585
