seed,seed_index,scenario,max_delay,policy,probe_num_agents,probe_updates,probe_cost,selected_num_agents,selected_eta,estimated_selected_lrv,true_selected_lrv,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260742,13,global,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.007384130729697496,3.9892355160108037,23.418749999999978,32.0,0.007384130729697496,0.01701154079153479,3.9892355160108037,364.0
20260742,13,global,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,3.975528778568411,21.698450572320485,8.0,0.0025,0.005847778783747185,3.975528778568411,1253.0
20260742,13,global,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,2.8864426973149753,15.575999999999988,1.0,0.0025,0.0036126076267607417,2.8864426973149753,3120.0
20260742,13,mixed,4,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,2.0519766783498032,9.57566666666666,1.0,0.0025,0.0025684083414796288,2.0519766783498032,2624.0
20260742,13,mixed,4,probe_oracle,32.0,80.0,2880.0,2.0,0.0025,2.3980029089657364,9.510085154353096,2.0,0.0025,0.011904355875357864,9.510085154353096,2186.0
20260742,13,mixed,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.005946035575013605,2.4271213732560035,12.280795503815458,32.0,0.005946035575013605,0.00868482827198699,2.4271213732560035,364.0
20260742,13,mixed,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,2.1625739897118,11.382151578217128,8.0,0.0025,0.0029287586860000684,2.1625739897118,1253.0
20260742,13,mixed,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,2.0519766783498032,9.57566666666666,1.0,0.0025,0.00256818307820056,2.0519766783498032,3120.0
20260742,13,mixed,16,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,2.8931893626006744,10.848220516822746,4.0,0.0025,0.003674036592715366,2.8931893626006744,1640.0
20260742,13,mixed,16,probe_oracle,32.0,80.0,2880.0,2.0,0.0025,4.226955122295427,9.510085154353096,2.0,0.0025,0.011905784583860228,9.510085154353096,2186.0
20260742,13,mixed,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.005946035575013605,2.861561318197255,12.280795503815458,32.0,0.005946035575013605,0.010950059207744191,2.861561318197255,364.0
20260742,13,mixed,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,3.0146122713374206,11.382151578217128,8.0,0.0025,0.0041976048191348205,3.0146122713374206,1253.0
20260742,13,mixed,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,3.927132502665441,9.57566666666666,1.0,0.0025,0.00491508043883727,3.927132502665441,3120.0
20260743,14,independent,4,adaptive_probe,32.0,80.0,2880.0,32.0,0.009170040432046712,0.037963820184859144,0.04687499999999999,32.0,0.009170040432046712,0.00022940806621698077,0.037963820184859144,364.0
20260743,14,independent,4,probe_oracle,32.0,80.0,2880.0,32.0,0.009170040432046712,0.037963820184859144,0.04687499999999999,32.0,0.009170040432046712,0.0002709138667266817,0.04687499999999999,364.0
20260743,14,independent,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.009170040432046712,0.037963820184859144,0.04687499999999999,32.0,0.009170040432046712,0.00022940806621698077,0.037963820184859144,364.0
20260743,14,independent,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,0.23907063269082288,0.18749999999999997,8.0,0.0025,0.00037566373639512124,0.23907063269082288,1253.0
20260743,14,independent,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,0.8145774940125192,1.4999999999999998,1.0,0.0025,0.0010194989182304806,0.8145774940125192,3120.0
20260743,14,independent,16,adaptive_probe,32.0,80.0,2880.0,32.0,0.009170040432046712,0.02074984346278459,0.04687499999999999,32.0,0.009170040432046712,0.00012942139749333442,0.02074984346278459,364.0
