policy,scenario,max_delay,budget,mean_mse,standard_error
adaptive_probe,independent,16,5600.0,0.005844527080975065,0.0003649912163078446
adaptive_probe,independent,16,5760.0,0.005480212468306621,0.00033556849955316816
adaptive_probe,independent,16,5920.0,0.005106669450005025,0.0003077213455659889
adaptive_probe,independent,16,6080.0,0.004743363249315639,0.0002957948785985616
adaptive_probe,independent,16,6240.0,0.0043507612667399165,0.00028295653723531917
adaptive_probe,independent,16,6400.0,0.003962387344451342,0.00028101067219361045
adaptive_probe,independent,16,6560.0,0.003767380905345709,0.0002648923312670195
adaptive_probe,independent,16,6720.0,0.0034280070852718155,0.00024397759895335925
adaptive_probe,independent,16,6880.0,0.003183074329017499,0.0002340053715481652
adaptive_probe,independent,16,7040.0,0.0028847908604429915,0.00022207945833213185
adaptive_probe,independent,16,7200.0,0.002623695370306164,0.00022175729094739232
adaptive_probe,independent,16,7360.0,0.0025084317822758047,0.00022144599785193166
adaptive_probe,independent,16,7520.0,0.002353837688397666,0.00021047471016188765
adaptive_probe,independent,16,7680.0,0.002252481436069222,0.00021734080816549362
adaptive_probe,independent,16,7840.0,0.002044324739042235,0.00020206159637584033
adaptive_probe,independent,16,8000.0,0.0018882911940443794,0.00019948149916717515
adaptive_probe,independent,16,8160.0,0.001714821304862864,0.00018668327604160777
adaptive_probe,independent,16,8320.0,0.0015840885916589954,0.00018175612449838725
adaptive_probe,independent,16,8480.0,0.001480071024976542,0.00016684076428823754
adaptive_probe,independent,16,8640.0,0.001402445914323688,0.00014842051375927264
adaptive_probe,independent,16,8800.0,0.0013151377586260009,0.00014666215424923306
adaptive_probe,independent,16,8960.0,0.0012680785340601296,0.00013474607222158222
adaptive_probe,independent,16,9120.0,0.0012082475546315709,0.00012403788891029652
adaptive_probe,independent,16,9280.0,0.0011506402615592058,0.0001080060596221908
adaptive_probe,independent,16,9440.0,0.0010926856248015097,0.000105383959457375
adaptive_probe,independent,16,9600.0,0.0010601099795758693,0.00010935324479106914
adaptive_probe,independent,16,9760.0,0.00099879166242263,0.00011104352098198021
adaptive_probe,independent,16,9920.0,0.0009983998501386837,0.00011084471268271875
adaptive_probe,independent,16,10080.0,0.0009691406082841928,0.00011208227534132171
adaptive_probe,independent,16,10240.0,0.0009407565509452346,0.0001105203058257985
adaptive_probe,independent,16,10400.0,0.0008739003472869259,0.00010669724381653514
adaptive_probe,independent,16,10560.0,0.0008756223657791443,0.00010222826301900615
adaptive_probe,independent,16,10720.0,0.0008101464314194535,0.00010094978317693666
adaptive_probe,independent,16,10880.0,0.0007693741101016425,9.838131921981193e-05
adaptive_probe,independent,16,11040.0,0.0006768271991262218,9.203047270867796e-05
adaptive_probe,independent,16,11200.0,0.0006634867141352723,9.225462273373556e-05
adaptive_probe,independent,16,11360.0,0.0006336337379665523,8.611510252309669e-05
adaptive_probe,independent,16,11520.0,0.0006178208904368682,8.248274051152368e-05
adaptive_probe,independent,16,11680.0,0.0005792796995809432,7.967253233060422e-05
adaptive_probe,independent,16,11840.0,0.0005956736976777991,7.962578532243155e-05
adaptive_probe,independent,16,12000.0,0.0005539304358643743,7.145378830903871e-05
adaptive_probe,independent,16,12160.0,0.00046820980756638646,6.212683847511992e-05
adaptive_probe,independent,16,12320.0,0.0004593037152017796,6.506804073389371e-05
adaptive_probe,independent,16,12480.0,0.0004328156275050216,5.9631425628816363e-05
adaptive_probe,independent,16,12640.0,0.0004108747737842071,5.596495593315107e-05
adaptive_probe,independent,16,12800.0,0.00038353236447346753,5.092016087197762e-05
adaptive_probe,independent,16,12960.0,0.0003573363159508253,4.9983931039854925e-05
adaptive_probe,independent,16,13120.0,0.000352560407555429,5.051795360274888e-05
adaptive_probe,independent,16,13280.0,0.0003252196082813593,4.259289102704531e-05
adaptive_probe,independent,16,13440.0,0.00032912264605283514,4.6253163597455955e-05
adaptive_probe,independent,16,13600.0,0.00033354531599009534,4.947236194522928e-05
adaptive_probe,independent,16,13760.0,0.0003201992501629807,4.302560897444518e-05
adaptive_probe,independent,16,13920.0,0.00031894449957085944,4.227441558054723e-05
adaptive_probe,independent,16,14080.0,0.0002914307802662692,4.488737361718935e-05
adaptive_probe,independent,16,14240.0,0.0002870208055758288,4.178200856945719e-05
adaptive_probe,independent,16,14400.0,0.00025483199591335944,3.609508308473925e-05
adaptive_probe,independent,16,14560.0,0.00025231139450811136,3.782272287899138e-05
adaptive_probe,independent,16,14720.0,0.00022502183909276502,3.154340240943618e-05
adaptive_probe,independent,16,14880.0,0.0001927063473853544,3.0756221823962324e-05
adaptive_probe,independent,16,15040.0,0.00020904750973402766,3.563511347581168e-05
adaptive_probe,independent,16,15200.0,0.00023140029560687967,3.81946877748194e-05
adaptive_probe,independent,16,15360.0,0.00022575157219342448,4.171397705044698e-05
adaptive_probe,independent,16,15520.0,0.00024124466293391357,4.510234390764368e-05
adaptive_probe,independent,16,15680.0,0.00024546435807347124,4.2544447478346286e-05
