cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_persistent_auc,mean_strong_static_auc,persistent_to_static_ratio
Fsingle_switch-H0.3-I0.5-N0.5-S0.9-T0.9-D3,single_switch,0.3,0.5,0.5,0.9,0.9,3,0.14758045494340488,0.1318312868864813,1.1194645704284527
Fsingle_switch-H0.3-I1.5-N0.1-S0-T0-D0,single_switch,0.3,1.5,0.1,0.0,0.0,0,0.07579098484792492,0.08024564203753498,0.9444872384779924
Fsingle_switch-H0.3-I1.5-N0.1-S0-T0-D3,single_switch,0.3,1.5,0.1,0.0,0.0,3,0.07972060666849617,0.08423232631798899,0.9464371952347554
Fsingle_switch-H0.3-I1.5-N0.1-S0-T0.9-D0,single_switch,0.3,1.5,0.1,0.0,0.9,0,0.1072421218097232,0.10425672459379538,1.0286350566599853
Fsingle_switch-H0.3-I1.5-N0.1-S0-T0.9-D3,single_switch,0.3,1.5,0.1,0.0,0.9,3,0.10539118306745852,0.10423142428120422,1.0111267671362276
Fsingle_switch-H0.3-I1.5-N0.1-S0.9-T0-D0,single_switch,0.3,1.5,0.1,0.9,0.0,0,0.0797349544046321,0.08325147534996788,0.9577602567335507
Fsingle_switch-H0.3-I1.5-N0.1-S0.9-T0-D3,single_switch,0.3,1.5,0.1,0.9,0.0,3,0.07814542813712647,0.08290417956217838,0.9425993785815968
Fsingle_switch-H0.3-I1.5-N0.1-S0.9-T0.9-D0,single_switch,0.3,1.5,0.1,0.9,0.9,0,0.10666895611401922,0.10018490281643107,1.0647208622787097
Fsingle_switch-H0.3-I1.5-N0.1-S0.9-T0.9-D3,single_switch,0.3,1.5,0.1,0.9,0.9,3,0.11091553702159063,0.11234465045773016,0.9872792035017525
Fsingle_switch-H0.3-I1.5-N0.5-S0-T0-D0,single_switch,0.3,1.5,0.5,0.0,0.0,0,0.08597164877477337,0.08736679468800532,0.9840311651787829
Fsingle_switch-H0.3-I1.5-N0.5-S0-T0-D3,single_switch,0.3,1.5,0.5,0.0,0.0,3,0.09255039742809001,0.09402376793914746,0.9843298078416617
Fsingle_switch-H0.3-I1.5-N0.5-S0-T0.9-D0,single_switch,0.3,1.5,0.5,0.0,0.9,0,0.2261401468945619,0.19145513998229874,1.181165190526982
Fsingle_switch-H0.3-I1.5-N0.5-S0-T0.9-D3,single_switch,0.3,1.5,0.5,0.0,0.9,3,0.22855276204959346,0.22352760937839158,1.0224811274328767
Fsingle_switch-H0.3-I1.5-N0.5-S0.9-T0-D0,single_switch,0.3,1.5,0.5,0.9,0.0,0,0.08722961559595749,0.08704522080767539,1.0021183792351969
Fsingle_switch-H0.3-I1.5-N0.5-S0.9-T0-D3,single_switch,0.3,1.5,0.5,0.9,0.0,3,0.09024569105531488,0.09150840921853204,0.9862010696721691
