cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,persistent_auc,persistent_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate,mean_rho_upper,mean_effective_samples
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2446090982,0.009709975494087624,0.009993418541453485,0.0015052025736412371,240,0,30,12,627,26.125,0.016531489606243246,0.05961817039617727,0.8333333333333334,0.16666666666666666,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2759634938,0.008745121788152154,0.009597031904529126,0.0013248914966313705,240,0,30,12,708,29.5,0.020450444876783158,0.0846328193681197,0.875,0.125,0.20913688847716724,3.4272372381761405
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1796341307,0.010407170936858402,0.01020104666159709,0.0010798914605233908,240,0,30,12,635,26.458333333333332,0.018470933296011415,0.04219076450204116,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,702779833,0.00888726253529429,0.009135329267998357,0.001275100574589767,240,0,30,12,574,23.916666666666668,0.027704247198268427,0.07331407942161178,0.9583333333333334,0.041666666666666664,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3081155260,0.010627982801747848,0.010368721776735798,0.004277259551442325,240,0,30,12,690,28.75,0.01780863274057128,0.03331188547400171,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3689771675,0.00999648837642825,0.010299156317329949,0.0016651086047899495,240,0,30,12,765,31.875,0.009844950333378788,0.040119972036519874,0.875,0.125,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1151854685,0.008160130434397443,0.008196443550513032,0.00022470786541798759,240,0,30,12,534,22.25,0.016590105440034728,0.03767188503245174,0.8333333333333334,0.16666666666666666,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2094958580,0.00836640943460919,0.008315618220504068,0.005442721741874872,240,0,30,12,544,22.666666666666668,0.02362254447643591,0.08604154188284825,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1636281357,0.011877048219467445,0.011911698212041938,0.0025958349546552715,240,0,30,12,763,31.791666666666668,0.02109372402950353,0.059220490518992606,0.9166666666666666,0.08333333333333333,0.20871801373759505,3.4288468145846047
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,830070239,0.009097171016972057,0.008365445332311145,0.0010029108602920755,240,0,30,12,625,26.041666666666668,0.02222138292422852,0.05607147571266124,0.9166666666666666,0.08333333333333333,0.21191999764288083,3.4067244846096174
