cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_local_auc,mean_charged_shadow_auc,mean_strong_static_auc,mean_observable_auc,mean_clairvoyant_auc,mean_full_sharing_auc,observable_to_static_ratio,observable_to_shadow_ratio,clairvoyant_to_static_ratio,observable_cvar90,static_cvar90,shadow_cvar90,checkpoint_violation_rate,shift_change_fraction
Falternating-H0.3-I1.5-N0.5-S0-T0.9-D3,alternating,0.3,1.5,0.5,0.0,0.9,3,0.21456482239448282,0.24213798209071563,0.21456482239448282,0.2469364422936553,0.1771308569776825,0.40136949652240017,1.150871049307684,1.019817048781475,0.8255354023131665,0.32558739929726366,0.30743332119851,0.3318968042145856,0.22916666666666669,0.96875
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D0,alternating,0.3,1.5,0.5,0.9,0.0,0,0.09616718166736506,0.13046724137905913,0.09270731785815808,0.11664912999549419,0.10190793585809074,0.12053066799267764,1.2582515888763712,0.8940875024450173,1.0992437081828812,0.14291829438299655,0.11911166378349466,0.1582857740279558,0.10807291666666666,0.90625
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D1,alternating,0.3,1.5,0.5,0.9,0.0,1,0.09820569594170545,0.13411698820690293,0.09820569594170545,0.1316610807176387,0.11433497757187616,0.22635551298992063,1.3406664395086845,0.9816883191152825,1.164239777290973,0.15873334976926362,0.12395113515676723,0.15978404018960346,0.12109375,0.9375
Falternating-H0.3-I1.5-N0.5-S0.9-T0-D3,alternating,0.3,1.5,0.5,0.9,0.0,3,0.09658804642347606,0.13146881783962705,0.09658804642347606,0.12953804195433843,0.11435906641626709,0.33632628012874755,1.3411394758560287,0.9853138111605758,1.1839877774820768,0.16244589505426205,0.12081179744735385,0.16066658661663852,0.09635416666666666,0.921875
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.3,1.5,0.5,0.9,0.9,0,0.21914746394335655,0.24568947281162795,0.21108621605832797,0.25246779208692227,0.1837437689302286,0.23813185264899933,1.1960411096533163,1.0275889691069153,0.8704678702443364,0.36297728340417645,0.3119357886724759,0.34118896786264913,0.2747395833333333,0.984375
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.3,1.5,0.5,0.9,0.9,1,0.241277971530622,0.26896533753488316,0.241277971530622,0.2774782433297439,0.21657815439240197,0.34708058704420386,1.1500355443535695,1.0316505683330168,0.8976292075835641,0.47614460920592905,0.4412838915959542,0.4701527132329302,0.23567708333333334,1.0
Falternating-H0.3-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.3,1.5,0.5,0.9,0.9,3,0.22525588888033604,0.25373150509353637,0.22525588888033604,0.2539253991153206,0.19921854743448048,0.41524408131555945,1.1272752973406825,1.0007641700691159,0.8844099411772203,0.4215479063104309,0.4021497487172755,0.4396364111108788,0.16927083333333331,0.921875
Falternating-H0.6-I0.5-N0.1-S0-T0-D0,alternating,0.6,0.5,0.1,0.0,0.0,0,0.06681248055743044,0.09210343929106966,0.06681248055743044,0.03368424934713931,0.02880130687769055,0.16459139569296746,0.5041610349758698,0.36572194921721374,0.4310767484966169,0.03986856659731549,0.07195281661518901,0.09780106368052728,0.06901041666666666,1.0
Falternating-H0.6-I0.5-N0.1-S0-T0-D1,alternating,0.6,0.5,0.1,0.0,0.0,1,0.06690319742262757,0.09205160179930844,0.06294693073290594,0.03399243690561636,0.030069110911327968,0.17681234052849343,0.5400173846418628,0.3692758870152734,0.477689866070136,0.041798219493553425,0.06717008371685208,0.09618127763761739,0.06380208333333333,1.0
Falternating-H0.6-I0.5-N0.1-S0-T0-D3,alternating,0.6,0.5,0.1,0.0,0.0,3,0.06706752512302566,0.09213379315513835,0.05785992246921949,0.037468676265737626,0.030296513615100884,0.18805132108394837,0.6475756390041887,0.4066768010153067,0.523618289174482,0.049523935024516075,0.06052276696249397,0.09805321833387738,0.06770833333333334,1.0
