policy,scenario,budget,mean_mse,standard_error
fixed_q1_oracle_eta,balanced_08,9200.0,0.014718243776185386,0.0014302960945621907
fixed_q1_oracle_eta,balanced_08,9400.0,0.014505593833421761,0.0013344468088056626
fixed_q1_oracle_eta,balanced_08,9600.0,0.014088094295399114,0.0013295116130054058
fixed_q1_oracle_eta,balanced_08,9800.0,0.013672567714899733,0.001498819698409512
fixed_q1_oracle_eta,balanced_08,10000.0,0.014041373661926317,0.0016251538372551695
fixed_q1_oracle_eta,balanced_08,10200.0,0.015729889678948106,0.0018159455093557594
fixed_q1_oracle_eta,balanced_08,10400.0,0.014357079305276882,0.0015198759037863866
fixed_q1_oracle_eta,balanced_08,10600.0,0.013834613329715747,0.001731782471801419
fixed_q1_oracle_eta,balanced_08,10800.0,0.01633265959409361,0.002150236207422202
fixed_q1_oracle_eta,balanced_08,11000.0,0.01795161794334258,0.0023691636887979103
fixed_q1_oracle_eta,balanced_08,11200.0,0.01790088927992974,0.002278801853476866
fixed_q1_oracle_eta,balanced_08,11400.0,0.018250428171224516,0.00229531649207911
fixed_q1_oracle_eta,balanced_08,11600.0,0.019021800337238493,0.0024559277946822043
fixed_q1_oracle_eta,balanced_08,11800.0,0.018156436950808433,0.002372894722931955
fixed_q1_oracle_eta,balanced_08,12000.0,0.019983598309315845,0.0023535716561352595
fixed_q1_oracle_eta,balanced_08,12200.0,0.01861913542618872,0.002031366801524776
fixed_q1_oracle_eta,balanced_08,12400.0,0.017333015034791437,0.0019032740356697217
