seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260735,5,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260735,5,global_08,16,state_oracle,15860,12720,0,785,True,True
20260735,5,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,clustered_08,16,state_correlation_adaptive,15960,7632,768,2082,True,True
20260735,5,clustered_08,16,correlation_only_adaptive,15990,6602,768,2347,True,True
20260735,5,clustered_08,16,state_oracle,15900,11800,0,1025,True,True
20260735,5,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260735,5,balanced_08,16,state_correlation_adaptive,15974,4314,768,2915,True,True
20260735,5,balanced_08,16,correlation_only_adaptive,15972,4060,768,2978,True,True
20260735,5,balanced_08,16,state_oracle,15880,11360,0,1130,True,True
20260735,5,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260735,5,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260735,5,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260735,5,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260736,6,independent,4,state_correlation_adaptive,15930,8598,768,1833,True,True
20260736,6,independent,4,correlation_only_adaptive,15976,6024,768,2488,True,True
20260736,6,independent,4,state_oracle,15840,14080,0,440,True,True
20260736,6,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260736,6,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260736,6,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
