scenario,rho,num_agents,eta,mean_delay,max_delay,stable,spectral_radius,finite_mse,stationary_mse,squared_bias,finite_variance
synchronous,0.7,8,0.004329110580107935,0.0,0,True,0.995670889419892,0.066935875908886,0.054726075765469104,0.013055989151664088,0.05387988675722192
synchronous,0.7,16,0.004329110580107935,0.0,0,True,0.995670889419892,0.06687577365523645,0.054665175518976816,0.013055989151664088,0.05381978450357235
synchronous,0.7,32,0.004329110580107935,0.0,0,True,0.995670889419892,0.06684572252841166,0.05463472539573067,0.013055989151664088,0.05378973337674757
synchronous,0.9,1,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08244223499743167,0.06479078436809782,0.019094483383344366,0.0633477516140873
synchronous,0.9,2,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08229687998292703,0.06464259031517111,0.019094483383344366,0.06320239659958267
synchronous,0.9,4,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08222420247567472,0.06456849328870777,0.019094483383344366,0.06312971909233035
synchronous,0.9,8,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08218786372204857,0.06453144477547611,0.019094483383344366,0.06309338033870421
synchronous,0.9,16,0.003950531850119864,0.0,0,True,0.9960494681498802,0.0821696943452355,0.06451292051886026,0.019094483383344366,0.06307521096189113
synchronous,0.9,32,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08216060965682893,0.06450365839055233,0.019094483383344366,0.06306612627348457
synchronous,0.99,1,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08848630012983116,0.07097347469905423,0.019094483383344366,0.0693918167464868
synchronous,0.99,2,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08847176462838069,0.07095865529376155,0.019094483383344366,0.06937728124503632
synchronous,0.99,4,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08846449687765545,0.07095124559111521,0.019094483383344366,0.06937001349431109
synchronous,0.99,8,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08846086300229285,0.07094754073979205,0.019094483383344366,0.06936637961894848
synchronous,0.99,16,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08845904606461154,0.07094568831413046,0.019094483383344366,0.06936456268126717
synchronous,0.99,32,0.003950531850119864,0.0,0,True,0.9960494681498802,0.08845813759577088,0.07094476210129967,0.019094483383344366,0.06936365421242652
