alignment,selection_rule,rho,configured_max_delay,resource,optimal_num_agents,optimal_eta,optimal_horizon,optimal_mse,all_agents_eta,all_agents_horizon,all_agents_mse,optimal_to_all_agents_ratio,selected_stable
sample_time,uniform_rank,0.3,4,message_overhead_16,2,0.007384130729697496,355,0.04483246216891935,0.01414213562373095,133,0.0849089944628098,0.5280060428528098,True
sample_time,uniform_rank,0.3,4,message_overhead_4,1,0.0025,1280,0.01690659136371346,0.011387886347566916,177,0.07046368395252835,0.23993340136890226,True
sample_time,uniform_rank,0.3,4,wallclock,1,0.0038555270635198514,629,0.030531148785970873,0.007384130729697496,303,0.048479929645971406,0.6297688344213171,True
sample_time,uniform_rank,0.3,16,message_overhead_0,4,0.0025,1600,0.014762589090849796,0.011387886347566916,200,0.06428052870601729,0.22965880007561096,True
sample_time,uniform_rank,0.3,16,message_overhead_16,1,0.005946035575013605,376,0.04465226113405739,0.01414213562373095,133,0.08277765317891608,0.5394241008203716,True
sample_time,uniform_rank,0.3,16,message_overhead_4,1,0.0025,1280,0.016967766526726078,0.011387886347566916,177,0.06910167357364834,0.2455478376893707,True
sample_time,uniform_rank,0.3,16,wallclock,1,0.007384130729697496,317,0.050376063929611595,0.01414213562373095,141,0.07988698822298886,0.6305916025898572,True
sample_time,uniform_rank,0.6,4,message_overhead_0,2,0.0025,3200,0.028422687794535335,0.009170040432046712,200,0.11314574127825247,0.2512042209758221,True
sample_time,uniform_rank,0.6,4,message_overhead_16,1,0.005946035575013605,376,0.07473129548732184,0.011387886347566916,133,0.14831478495488154,0.5038694929170794,True
sample_time,uniform_rank,0.6,4,message_overhead_4,1,0.0025,1280,0.03031419153363754,0.009170040432046712,177,0.12427163977053754,0.2439349121779631,True
sample_time,uniform_rank,0.6,4,wallclock,1,0.0038555270635198514,629,0.050572400917507164,0.007384130729697496,303,0.08608026373113742,0.5875028575128987,True
sample_time,uniform_rank,0.6,16,message_overhead_0,2,0.0025,3200,0.028675875042181862,0.009170040432046712,200,0.11247229324982014,0.2549594590241692,True
sample_time,uniform_rank,0.6,16,message_overhead_16,1,0.005946035575013605,376,0.07519491550754827,0.011387886347566916,133,0.14536193476157727,0.5172944046932438,True
sample_time,uniform_rank,0.6,16,message_overhead_4,1,0.0025,1280,0.03054067447459115,0.009170040432046712,177,0.1220840981799781,0.2501609540463465,True
sample_time,uniform_rank,0.6,16,wallclock,1,0.005946035575013605,317,0.08458520418125515,0.011387886347566916,141,0.14001527615464054,0.6041141117190285,True
sample_time,uniform_rank,0.9,4,message_overhead_0,2,0.0025,3200,0.04216278641971545,0.007384130729697496,200,0.15697473263195535,0.26859600722219906,True
sample_time,uniform_rank,0.9,4,message_overhead_16,1,0.0047880164034928676,376,0.10183893762690578,0.011387886347566916,133,0.1996943168983771,0.5099741405196365,True
sample_time,uniform_rank,0.9,4,message_overhead_4,1,0.0025,1280,0.04372179170356161,0.009170040432046712,177,0.16790353581032577,0.26039827864585563,True
sample_time,uniform_rank,0.9,4,wallclock,1,0.0031046445301837096,629,0.07044549674309511,0.005946035575013605,303,0.11745935959692556,0.5997435792672157,True
