scenario_id,family,matrix_name,rho,delay,markov_lambda,step_size,q,stride,updates,binding,risk,bias_risk,noise_risk,spectral_radius,fixed_sequence_minimax_risk,scalar_reference_risk
speedup-0-scalar-D3-L0.6-E0.08,speedup,scalar,0.0,3,0.6,0.08,16,4,23,environment,0.004216276820541836,0.0,0.004216276820541836,0.8843185245823201,0.002717391304347826,0.004216276820541834
speedup-0-scalar-D3-L0.9-E0.04,speedup,scalar,0.0,3,0.9,0.04,1,1,93,environment,0.30867097120255954,0.0,0.30867097120255954,0.9539185534049174,0.010752688172043012,0.30867097120255926
speedup-0-scalar-D3-L0.9-E0.04,speedup,scalar,0.0,3,0.9,0.04,1,4,23,environment,0.08645937211501965,0.0,0.08645937211501965,0.9539185534049174,0.043478260869565216,0.08645937211501958
speedup-0-scalar-D3-L0.9-E0.04,speedup,scalar,0.0,3,0.9,0.04,4,1,93,environment,0.07716774280063989,0.0,0.07716774280063989,0.9539185534049174,0.002688172043010753,0.07716774280063982
speedup-0-scalar-D3-L0.9-E0.04,speedup,scalar,0.0,3,0.9,0.04,4,4,23,environment,0.021614843028754913,0.0,0.021614843028754913,0.9539185534049174,0.010869565217391304,0.021614843028754896
speedup-0-scalar-D3-L0.9-E0.04,speedup,scalar,0.0,3,0.9,0.04,16,1,93,environment,0.01929193570015997,0.0,0.01929193570015997,0.9539185534049174,0.0006720430107526882,0.019291935700159954
speedup-0-scalar-D3-L0.9-E0.04,speedup,scalar,0.0,3,0.9,0.04,16,4,23,environment,0.005403710757188728,0.0,0.005403710757188728,0.9539185534049174,0.002717391304347826,0.005403710757188724
speedup-0-scalar-D3-L0.9-E0.08,speedup,scalar,0.0,3,0.9,0.08,1,1,93,environment,0.5271295888317459,0.0,0.5271295888317459,0.8843185245823201,0.010752688172043012,0.5271295888317465
speedup-0-scalar-D3-L0.9-E0.08,speedup,scalar,0.0,3,0.9,0.08,1,4,23,environment,0.21393718636345443,0.0,0.21393718636345443,0.8843185245823201,0.043478260869565216,0.2139371863634546
speedup-0-scalar-D3-L0.9-E0.08,speedup,scalar,0.0,3,0.9,0.08,4,1,93,environment,0.13178239720793647,0.0,0.13178239720793647,0.8843185245823201,0.002688172043010753,0.13178239720793664
speedup-0-scalar-D3-L0.9-E0.08,speedup,scalar,0.0,3,0.9,0.08,4,4,23,environment,0.05348429659086361,0.0,0.05348429659086361,0.8843185245823201,0.010869565217391304,0.05348429659086365
speedup-0-scalar-D3-L0.9-E0.08,speedup,scalar,0.0,3,0.9,0.08,16,1,93,environment,0.03294559930198412,0.0,0.03294559930198412,0.8843185245823201,0.0006720430107526882,0.03294559930198416
speedup-0-scalar-D3-L0.9-E0.08,speedup,scalar,0.0,3,0.9,0.08,16,4,23,environment,0.013371074147715902,0.0,0.013371074147715902,0.8843185245823201,0.002717391304347826,0.013371074147715913
speedup-0-diagonal_2d-D0-L0-E0.04,speedup,diagonal_2d,0.0,0,0.0,0.04,1,1,96,environment,0.045928100785275205,0.0,0.045928100785275205,0.972,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0-E0.04,speedup,diagonal_2d,0.0,0,0.0,0.04,1,4,24,environment,0.03702935454741003,0.0,0.03702935454741003,0.972,0.041666666666666664,
speedup-0-diagonal_2d-D0-L0-E0.04,speedup,diagonal_2d,0.0,0,0.0,0.04,4,1,96,environment,0.011482025196318801,0.0,0.011482025196318801,0.972,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0-E0.04,speedup,diagonal_2d,0.0,0,0.0,0.04,4,4,24,environment,0.009257338636852507,0.0,0.009257338636852507,0.972,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0-E0.04,speedup,diagonal_2d,0.0,0,0.0,0.04,16,1,96,environment,0.0028705062990797003,0.0,0.0028705062990797003,0.972,0.0006510416666666666,
speedup-0-diagonal_2d-D0-L0-E0.04,speedup,diagonal_2d,0.0,0,0.0,0.04,16,4,24,environment,0.0023143346592131267,0.0,0.0023143346592131267,0.972,0.0026041666666666665,
