cell_id,rho,state_signal,noise_scale,delay_curvature,resource_price,mean_normalized_regret,mean_observable_score,oracle_score,q_only_score,eta_only_score,fixed_score,median_observable_q,median_observable_eta
R0-S0.1-N1-D0-P0.001,0.0,0.1,1.0,0.0,0.001,0.02143187566605143,-0.0034187524404994075,-0.005333333333333336,0.00024999999999999935,-0.005000000000000003,0.0053124999999999995,6.0,0.2
R0-S0.1-N1-D0-P0.01,0.0,0.1,1.0,0.0,0.01,0.0008614273665413564,0.028092231314497184,0.0275,0.0275,0.085,0.09531250000000001,1.0,0.050025173591264946
R0-S0.1-N1-D0.5-P0.0001,0.0,0.1,1.0,0.5,0.0001,0.028195779618443315,-0.012666529659338583,-0.013800000000000003,-0.0036750000000000003,-0.012000000000000004,-0.0035625000000000006,20.0,0.2
R0-S0.1-N1-D0.5-P0.001,0.0,0.1,1.0,0.5,0.001,0.018320632667792845,-0.0017333314136794265,-0.0033333333333333357,0.00037499999999999947,-0.0030000000000000044,0.0054375,6.0,0.2
R0-S0.1-N1-D0.5-P0.01,0.0,0.1,1.0,0.5,0.01,0.0012279313485237856,0.028463396603461116,0.02761904761904762,0.027625,0.08700000000000001,0.09543750000000001,1.0,0.047379760826880904
R0-S0.1-N1-D2-P0.0001,0.0,0.1,1.0,2.0,0.0001,0.019030244860011418,-0.007149165625787612,-0.007800000000000002,-0.003300000000000001,-0.006692307692307693,-0.003187500000000001,19.0,0.1962252680897735
R0-S0.1-N1-D2-P0.001,0.0,0.1,1.0,2.0,0.001,0.01008638181867992,0.00116290806708745,0.0003124999999999994,0.0007499999999999989,0.0023076923076923075,0.005812499999999999,2.5,0.07972105625107773
R0-S0.1-N1-D2-P0.01,0.0,0.1,1.0,2.0,0.01,0.0007122690534114671,0.028406648419659303,0.027916666666666666,0.028,0.09230769230769231,0.09581250000000001,1.0,0.036699956101149823
R0-S0.1-N10-D0-P0.0001,0.0,0.1,10.0,0.0,0.0001,0.11164108308991755,-0.003405146709092722,-0.007150793650793655,-0.0016375000000000007,-0.001,-0.0008750000000000009,2.0,0.005
R0-S0.1-N10-D0-P0.001,0.0,0.1,10.0,0.0,0.001,0.09388675816217804,0.010894676270568945,0.00275,0.007,0.008,0.008125,1.0,0.005458684172393652
R0-S0.1-N10-D0-P0.01,0.0,0.1,10.0,0.0,0.01,0.027192018007331367,0.04850569442055681,0.02975,0.0475,0.098,0.098125,1.0,0.005
R0-S0.1-N10-D0.5-P0.0001,0.0,0.1,10.0,0.5,0.0001,0.08488426399533103,-0.0024726277532774723,-0.005150793650793655,-0.0015125000000000006,-0.0009230769230769233,-0.0007500000000000007,2.0,0.005431996376567711
R0-S0.1-N10-D0.5-P0.001,0.0,0.1,10.0,0.5,0.001,0.07274520727994838,0.00906198766304462,0.0027512500000000002,0.007124999999999999,0.008076923076923077,0.00825,1.0,0.005
R0-S0.1-N10-D0.5-P0.01,0.0,0.1,10.0,0.5,0.01,0.01697720087714723,0.0414612955265134,0.02975125,0.047625,0.09807692307692308,0.09825,1.0,0.005
R0-S0.1-N10-D2-P0.0001,0.0,0.1,10.0,2.0,0.0001,0.05360726980414285,6.424516866930832e-06,-0.0014886075949367087,-0.0011375000000000007,-0.0007241379310344829,-0.0003750000000000012,2.0,0.005
R0-S0.1-N10-D2-P0.001,0.0,0.1,10.0,2.0,0.001,0.06940547277103412,0.008776271790251065,0.002755,0.007500000000000001,0.008275862068965517,0.008624999999999999,1.0,0.006049659768683352
R0-S0.1-N10-D2-P0.01,0.0,0.1,10.0,2.0,0.01,0.0072077729577653665,0.03472659743648345,0.029755,0.048,0.09827586206896552,0.098625,1.0,0.006316546202640444
R0-S1-N0.1-D0-P0.0001,0.0,1.0,0.1,0.0,0.0001,4.042405569422283e-06,-0.19853169642857144,-0.19853333333333334,-0.049475000000000005,-0.1985,-0.048968750000000005,6.0,0.2
R0-S1-N0.1-D0-P0.001,0.0,1.0,0.1,0.0,0.001,0.0,-0.19399999999999998,-0.194,-0.04675,-0.1895,-0.039968750000000004,2.0,0.2
R0-S1-N0.1-D0-P0.01,0.0,1.0,0.1,0.0,0.01,0.0,-0.166,-0.166,-0.01975,-0.0995,0.05003125,1.0,0.2
R0-S1-N0.1-D0.5-P0.0001,0.0,1.0,0.1,0.5,0.0001,3.2859740709718023e-06,-0.17853206845238098,-0.17853333333333335,-0.048225000000000004,-0.17850000000000002,-0.047718750000000004,6.0,0.2
R0-S1-N0.1-D0.5-P0.001,0.0,1.0,0.1,0.5,0.001,0.0,-0.17399999999999996,-0.174,-0.0455,-0.1695,-0.03871875,2.0,0.2
R0-S1-N0.1-D0.5-P0.01,0.0,1.0,0.1,0.5,0.01,0.0,-0.14600000000000002,-0.14600000000000002,-0.0185,-0.07950000000000002,0.05128125,1.0,0.2
R0-S1-N0.1-D2-P0.0001,0.0,1.0,0.1,2.0,0.0001,4.1217246028536304e-06,-0.11853199404761905,-0.11853333333333334,-0.04447500000000001,-0.1185,-0.04396875,6.0,0.2
R0-S1-N0.1-D2-P0.001,0.0,1.0,0.1,2.0,0.001,0.0,-0.114,-0.114,-0.041749999999999995,-0.10949999999999999,-0.03496875,2.0,0.2
R0-S1-N0.1-D2-P0.01,0.0,1.0,0.1,2.0,0.01,0.0,-0.08599999999999998,-0.086,-0.014749999999999996,-0.019499999999999993,0.055031250000000004,1.0,0.2
R0-S1-N1-D0-P0.0001,0.0,1.0,1.0,0.0,0.0001,1.862272411160128e-05,-0.19579250994036235,-0.1958,-0.0488,-0.194,-0.0486875,20.0,0.2
R0-S1-N1-D0-P0.001,0.0,1.0,1.0,0.0,0.001,3.146195421790643e-05,-0.18531919642857145,-0.18533333333333335,-0.04475,-0.185,-0.0396875,6.0,0.2
R0-S1-N1-D0-P0.01,0.0,1.0,1.0,0.0,0.01,0.0,-0.14,-0.14,-0.017499999999999998,-0.095,0.050312499999999996,2.0,0.2
R0-S1-N1-D0.5-P0.0001,0.0,1.0,1.0,0.5,0.0001,1.4099827430456622e-05,-0.17579461104595606,-0.17579999999999998,-0.04755,-0.17400000000000002,-0.0474375,20.0,0.2
R0-S1-N1-D0.5-P0.001,0.0,1.0,1.0,0.5,0.001,3.466060337178256e-05,-0.16531845238095239,-0.16533333333333333,-0.0435,-0.165,-0.0384375,6.0,0.2
R0-S1-N1-D0.5-P0.01,0.0,1.0,1.0,0.5,0.01,0.0,-0.12000000000000001,-0.12000000000000001,-0.016249999999999997,-0.07500000000000001,0.0515625,2.0,0.2
R0-S1-N1-D2-P0.0001,0.0,1.0,1.0,2.0,0.0001,1.677362948522327e-05,-0.11579459553657986,-0.1158,-0.0438,-0.11399999999999999,-0.043687500000000004,20.0,0.2
R0-S1-N1-D2-P0.001,0.0,1.0,1.0,2.0,0.001,4.432052604436155e-05,-0.10531696428571427,-0.10533333333333333,-0.03975,-0.10499999999999998,-0.0346875,6.0,0.2
R0-S1-N1-D2-P0.01,0.0,1.0,1.0,2.0,0.01,4.1451090171525174e-05,-0.05996269401884562,-0.06,-0.0125,-0.014999999999999989,0.0553125,2.0,0.2
R0-S1-N10-D0-P0.0001,0.0,1.0,10.0,0.0,0.0001,0.014520306774452998,-0.1814363153956547,-0.18715079365079365,-0.046637500000000005,-0.14900000000000002,-0.045875,63.0,0.2
R0-S1-N10-D0-P0.001,0.0,1.0,10.0,0.0,0.001,0.022846490978235188,-0.14835878080718473,-0.158,-0.038,-0.14,-0.036875,19.0,0.2
R0-S1-N10-D0-P0.01,0.0,1.0,10.0,0.0,0.01,0.02494148711421731,-0.031052271511299204,-0.05333333333333333,0.0024999999999999953,-0.05000000000000002,0.053125000000000006,6.0,0.2
R0-S1-N10-D0.5-P0.0001,0.0,1.0,10.0,0.5,0.0001,0.020440524608811184,-0.15951521946053365,-0.16715079365079366,-0.045387500000000004,-0.129,-0.044625,62.5,0.2
R0-S1-N10-D0.5-P0.001,0.0,1.0,10.0,0.5,0.001,0.017334213615791735,-0.13103164612645174,-0.138,-0.036750000000000005,-0.12,-0.035625,20.0,0.2
R0-S1-N10-D0.5-P0.01,0.0,1.0,10.0,0.5,0.01,0.017352880512133573,-0.018178484352736675,-0.033333333333333326,0.0037499999999999964,-0.030000000000000002,0.05437500000000001,6.0,0.2
R0-S1-N10-D2-P0.0001,0.0,1.0,10.0,2.0,0.0001,0.01562235956218573,-0.10225239041137224,-0.10715079365079365,-0.04163750000000001,-0.07592307692307693,-0.040875,62.0,0.2
R0-S1-N10-D2-P0.001,0.0,1.0,10.0,2.0,0.001,0.019724554433585645,-0.0712542023837137,-0.078,-0.033,-0.06692307692307692,-0.031875,19.0,0.19213493933260628
R0-S1-N10-D2-P0.01,0.0,1.0,10.0,2.0,0.01,0.009559455253040253,0.011184815710219568,0.0031250000000000062,0.0075,0.023076923076923075,0.058124999999999996,3.0,0.09242276343856456
R0-S10-N0.1-D0-P0.0001,0.0,10.0,0.1,0.0,0.0001,3.7156554536354434e-07,-1.9985318452380958,-1.9985333333333335,-0.49947500000000006,-1.9985000000000002,-0.49896875,6.0,0.2
R0-S10-N0.1-D0-P0.001,0.0,10.0,0.1,0.0,0.001,0.0,-1.994,-1.994,-0.49675,-1.9895,-0.48996875,2.0,0.2
R0-S10-N0.1-D0-P0.01,0.0,10.0,0.1,0.0,0.01,0.0,-1.9659999999999997,-1.966,-0.46975,-1.8995,-0.39996875,1.0,0.2
R0-S10-N0.1-D0.5-P0.0001,0.0,10.0,0.1,0.5,0.0001,3.715414574512439e-07,-1.798531919642857,-1.7985333333333333,-0.48697500000000005,-1.7985,-0.48646875,6.0,0.2
R0-S10-N0.1-D0.5-P0.001,0.0,10.0,0.1,0.5,0.001,0.0,-1.7940000000000003,-1.794,-0.48425,-1.7894999999999999,-0.47746875,2.0,0.2
R0-S10-N0.1-D0.5-P0.01,0.0,10.0,0.1,0.5,0.01,0.0,-1.766,-1.766,-0.45725,-1.6994999999999998,-0.38746875,1.0,0.2
R0-S10-N0.1-D2-P0.0001,0.0,10.0,0.1,2.0,0.0001,5.803924307307847e-07,-1.198531473214286,-1.1985333333333335,-0.449475,-1.1985000000000001,-0.44896874999999997,6.0,0.2
R0-S10-N0.1-D2-P0.001,0.0,10.0,0.1,2.0,0.001,0.0,-1.194,-1.194,-0.44675,-1.1895,-0.43996874999999996,2.0,0.2
