policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
dual_ucb,0.98,0.0,0,20381261,9,True,0.9852601354150281,0.014079340187326182,0.986,0.02,11859,661,8,133,0.28602393947205856,13,0.786141701137635
dual_ucb,0.98,0.0,0,20381261,10,True,0.9847773732362439,0.01369917089755765,0.986,0.02,12472,669,8,122,0.27638842118801926,5,0.7890667346756993
correlation_blind,0.98,0.0,0,21381261,1,True,0.9993703412465136,0.06276907731421694,1.0,0.0,328,328,1,18721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381261,2,True,0.9973052963407696,0.026376301972316142,0.998,0.0,2203,335,32,935,0.2997644146494552,2,0.7769570065632019
correlation_blind,0.98,0.0,0,21381261,3,True,0.9887751918428371,0.025863016808756842,0.99,0.0,3710,362,32,186,0.16122938115460103,8,0.8379385510296267
correlation_blind,0.98,0.0,0,21381261,4,True,0.9889346679333508,0.02406172602848891,0.99,0.0,5217,389,32,186,0.18844746253447067,8,0.8202759728453357
correlation_blind,0.98,0.0,0,21381261,5,True,0.9867113664105018,0.02250081749938565,0.988,0.0,6749,409,32,169,0.20056641166043218,9,0.8134211055834433
correlation_blind,0.98,0.0,0,21381261,6,True,0.9857100545978701,0.021472338976701415,0.986,0.0,8214,434,32,145,0.21801565177538926,10,0.80480819281406
correlation_blind,0.98,0.0,0,21381261,7,True,0.9858818171250603,0.02031498915267621,0.986,0.0,9679,459,32,145,0.2756994103709983,10,0.7833471296870362
correlation_blind,0.98,0.0,0,21381261,8,True,0.9843991919270885,0.019279012354456906,0.986,0.0,11286,482,16,133,0.2803414806134876,12,0.7843072606497289
correlation_blind,0.98,0.0,0,21381261,9,True,0.9843005427494531,0.018417322134968203,0.986,0.0,13021,501,8,133,0.2881763751041444,13,0.7857464811233147
correlation_blind,0.98,0.0,0,21381261,10,True,0.984227988012689,0.017762969474057373,0.986,0.0,13634,509,8,122,0.27800570027182925,5,0.7887163458772356
dual_ucb,0.98,0.0,0,20381262,1,True,0.9993703412465136,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,0,20381262,2,True,0.9973052963407696,0.026376301972316142,0.998,0.04,2203,335,32,935,0.29463290249917845,2,0.7779207553826774
dual_ucb,0.98,0.0,0,20381262,3,True,0.9884566393123897,0.025863016808756842,0.99,0.04,3710,362,32,186,0.14693459704086792,8,0.8483363606500549
dual_ucb,0.98,0.0,0,20381262,4,True,0.9875117408557974,0.02406172602848891,0.988,0.04,5265,377,32,155,0.14681324807517704,10,0.8485815054982864
dual_ucb,0.98,0.0,0,20381262,5,True,0.9869850983533399,0.023168081660438093,0.988,0.04,6797,397,32,169,0.18171944930464656,9,0.8244719159446543
dual_ucb,0.98,0.0,0,20381262,6,True,0.9870116441513501,0.02207749433718218,0.988,0.04,8352,412,32,155,0.21666743751204537,10,0.8052371031720401
dual_ucb,0.98,0.0,0,20381262,7,True,0.986713907244904,0.021326340309355783,0.988,0.04,10060,426,16,155,0.23980268060058207,11,0.7960418291802431
dual_ucb,0.98,0.0,0,20381262,8,True,0.9855861003504225,0.020671143909514383,0.986,0.04,11667,449,16,133,0.2697963642248933,12,0.7869556678258159
dual_ucb,0.98,0.0,0,20381262,9,True,0.9850390883527276,0.019680097983025557,0.986,0.02,13402,468,8,133,0.28602393947205856,13,0.786141701137635
dual_ucb,0.98,0.0,0,20381262,10,True,0.9852617653282998,0.01893213271048027,0.986,0.02,14015,476,8,122,0.27638842118801926,5,0.7890667346756993
correlation_blind,0.98,0.0,0,21381262,1,True,0.9998916376850624,0.06276907731421694,1.0,0.0,328,328,1,18721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381262,2,True,0.9981597540384117,0.026376301972316142,1.0,0.0,528,528,1,16721,0.0,0,1.0
correlation_blind,0.98,0.0,0,21381262,3,True,0.9964424248471657,0.016911182177612276,0.998,0.0,2403,535,32,935,0.3001212857614608,2,0.7768936804498652
correlation_blind,0.98,0.0,0,21381262,4,True,0.9855468347523773,0.016703869099372708,0.986,0.0,3875,555,32,133,0.14266270728435607,11,0.8520344821841562
correlation_blind,0.98,0.0,0,21381262,5,True,0.9848704918659366,0.016139318544597124,0.986,0.0,5347,575,32,133,0.17189203627279034,11,0.8313141782965181
