policy,persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,final_error,median_q,initial_p_upper,final_p_upper,initial_rho_upper,final_rho_upper,random_seed,oracle_error,to_oracle
dual_ucb,0.98,0.5,2,20411253,True,0.967393406585392,0.03180876937573612,3.0,0.9999990230334976,0.9823877498795266,0.6993419954966986,0.6186337813476839,20411253,0.0012661849587895914,25.121740038788403
correlation_blind,0.98,0.5,2,20411253,True,0.9664555852967129,0.024852556977714636,4.0,0.9998916376850624,0.98475924291476,0.7339617219087422,0.6047726454724953,21411253,0.0012661849587895914,19.627904126639145
dual_ucb,0.98,0.5,2,20411254,True,0.9687038465057546,0.040652007497423565,3.0,0.9983186396695305,0.9852182356634718,0.6780795109382056,0.5872570885073376,20411254,0.0012661849587895914,32.10589986496508
correlation_blind,0.98,0.5,2,20411254,True,0.966185560380981,0.12802161002666,4.0,0.9998916376850624,0.9855477623011977,0.6564517604415314,0.5731718261835033,21411254,0.0012661849587895914,101.10814311760753
dual_ucb,0.98,0.5,2,20411255,True,0.967393406585392,0.023833335286419108,2.0,0.9993703412465136,0.9828576847464725,0.5739905894013302,0.5630665386380813,20411255,0.0012661849587895914,18.82294930213242
correlation_blind,0.98,0.5,2,20411255,True,0.967393406585392,0.025623139387838105,3.0,0.9993703412465136,0.9834098804401412,0.6418301725565638,0.5949509769799437,21411255,0.0012661849587895914,20.236490103572645
dual_ucb,0.98,0.5,2,20411256,True,0.967185567089285,0.10056000015689398,4.0,1.0,0.9856881304712108,0.7609074172401085,0.5853533123594392,20411256,0.0012661849587895914,79.41967676904348
correlation_blind,0.98,0.5,2,20411256,True,0.9658233928159123,0.10539376475912611,4.0,1.0,0.9853163501304194,0.6637015798253265,0.5524802224283338,21411256,0.0012661849587895914,83.23725852807256
dual_ucb,0.98,0.5,2,20411257,True,0.9671034931144055,0.02443144133602154,3.0,0.9998916376850624,0.9839541438322856,0.7063480729282505,0.6388334984769208,20411257,0.0012661849587895914,19.29531792841447
correlation_blind,0.98,0.5,2,20411257,True,0.9664555852967129,0.02340603102472197,3.0,0.9998916376850624,0.9853267553417688,0.6709108235462167,0.5774689115372256,21411257,0.0012661849587895914,18.485475492535425
dual_ucb,0.98,0.5,2,20411258,True,0.9688704818364119,0.021859225875274182,2.0,0.9967693945447871,0.984265700587966,0.6993419954966986,0.6159736759398524,20411258,0.0012661849587895914,17.263848953134378
correlation_blind,0.98,0.5,2,20411258,True,0.9659486476180503,0.10228661027029418,4.0,1.0,0.9849124595659433,0.6344582199550199,0.566850410007204,21411258,0.0012661849587895914,80.78330859977596
dual_ucb,0.98,0.5,2,20411259,True,0.9687161014759882,0.047592271326375064,3.0,0.9993703412465136,0.9855708841714701,0.6922951498051697,0.596935692796899,20411259,0.0012661849587895914,37.58714001141734
correlation_blind,0.98,0.5,2,20411259,True,0.9681300150801333,0.05000290395904161,3.0,0.9993703412465136,0.9841916977601017,0.7202373881324629,0.5922315949207342,21411259,0.0012661849587895914,39.490995065082636
dual_ucb,0.98,0.5,2,20411260,True,0.967393406585392,0.015892828197959053,2.0,0.9924306493116266,0.9833900166083418,0.7202373881324629,0.6077610570131902,20411260,0.0012661849587895914,12.551743003764466
correlation_blind,0.98,0.5,2,20411260,True,0.966403840865418,0.07871073273268077,3.0,0.9998916376850624,0.9846145335477332,0.604559141068455,0.5676485837895615,21411260,0.0012661849587895914,62.163692741954726
dual_ucb,0.98,0.5,2,20411261,True,0.9690441398613022,0.11461222281678193,4.0,0.9998916376850624,0.9863966125532311,0.6780795109382056,0.586683044383193,20411261,0.0012661849587895914,90.51775731591805
correlation_blind,0.98,0.5,2,20411261,True,0.9676909367229934,0.021954391194400034,4.0,0.9967693945447871,0.9849398837276613,0.6780795109382056,0.5610255433139675,21411261,0.0012661849587895914,17.339008050914867
dual_ucb,0.98,0.5,2,20411262,True,0.9689868004032183,0.07153693565807798,4.0,0.9983186396695305,0.9862430493264791,0.5816965571840023,0.5610394415559001,20411262,0.0012661849587895914,56.4980141025081
correlation_blind,0.98,0.5,2,20411262,True,0.9664555852967129,0.02471706836722193,2.0,0.9993703412465136,0.9841676225318143,0.5969804851476164,0.5670915964022825,21411262,0.0012661849587895914,19.520898740457472
dual_ucb,0.98,0.9,0,20421231,True,0.8932507701611395,0.011028669271757774,2.0,0.9999990230334976,0.9851614633786083,0.9765294187433833,0.943363034172678,20421231,0.010180002984262373,1.0833660155903082
correlation_blind,0.98,0.9,0,20421231,True,0.8390191968736713,0.01881673878215649,24.0,0.9983186396695305,0.9832337237221289,0.9603725220436967,0.9276064956337668,21421231,0.010180002984262373,1.8484020890019335
dual_ucb,0.98,0.9,0,20421232,True,0.8615385540530424,0.011024150067416288,1.5,0.9993703412465136,0.9852480693093821,0.9687527531915219,0.9417717243346178,20421232,0.010180002984262373,1.0829220860208892
correlation_blind,0.98,0.9,0,20421232,True,0.8519138253199654,0.016528968711703187,24.0,0.9998916376850624,0.9842849544735566,0.9603725220436967,0.9373351575365434,21421232,0.010180002984262373,1.6236703208492085
dual_ucb,0.98,0.9,0,20421233,True,0.8786679484808337,0.011071120383038018,2.0,1.0,0.9846863396878607,0.9687527531915219,0.931631132176254,20421233,0.010180002984262373,1.0875360645918528
correlation_blind,0.98,0.9,0,20421233,True,0.8648122134083795,0.016527130173667158,32.0,0.9967693945447871,0.984991959266214,0.986792518751719,0.9591806881319622,21421233,0.010180002984262373,1.623489717951658
