scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,normalized_step,step_size,updates,spectral_radius,bias_risk,noise_risk,risk
cliffwalking-environment-B0-D1-R0.9,cliffwalking,environment,64,0,1000000,64,1,0.9,16,0.12,0.1316838876552719,63,0.9866346739891829,2146.8095440681645,104617.70465480891,106764.51419887708
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,1,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,36816.504187935934,40617.00862098785
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,1,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,95864.01504437742,97080.76242840468
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,1,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,150427.13167340448,150810.6705599736
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,4,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,34055.26637384074,37855.77080689266
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,4,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,88674.21391604912,89890.96130007638
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,4,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,139145.09679789914,139528.63568446826
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,16,0.04,0.043894629218423964,127,0.9955849425774752,3800.504433051913,33364.95692031694,37165.46135336885
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,16,0.08,0.08778925843684793,127,0.9911301972176411,1216.7473840272567,86876.76363396703,88093.51101799429
cliffwalking-environment-B1-D1-R0.9,cliffwalking,environment,128,1,1000000,128,1,0.9,16,0.12,0.1316838876552719,127,0.9866346739891829,383.53888656912625,136324.58807902283,136708.12696559195
cliffwalking-environment-B2-D1-R0.9,cliffwalking,environment,256,2,1000000,256,1,0.9,1,0.04,0.043894629218423964,255,0.9955849425774752,1224.3090759841386,51448.14504258855,52672.454118572685
cliffwalking-environment-B2-D1-R0.9,cliffwalking,environment,256,2,1000000,256,1,0.9,1,0.08,0.08778925843684793,255,0.9911301972176411,124.35456059172813,109288.93904131762,109413.29360190935
cliffwalking-environment-B2-D1-R0.9,cliffwalking,environment,256,2,1000000,256,1,0.9,1,0.12,0.1316838876552719,255,0.9866346739891829,12.24168428241137,157882.18317445088,157894.42485873328
