seed,seed_index,persistence,rho,maximum_delay,policy,num_agents,gap,eta,updates,update_cost,squared_parameter_error,maximum_squared_error,diverged,finite,charged_budget,within_budget
20261041,11,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0009718154716651218,0.6678479841261769,False,True,127920,True
20261041,11,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.01957481999216234,0.6962412398583746,False,True,127985,True
20261041,11,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.01957481999216234,0.6962412398583746,False,True,127985,True
20261041,11,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.03448591698042493,0.6961992705460506,False,True,127920,True
20261041,11,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.007949224724956598,0.6699423353377226,False,True,128000,True
20261041,11,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.04322372579821664,0.6726866879016774,False,True,127985,True
20261041,11,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5368398024338175,0.6960233819785803,False,True,127920,True
20261041,11,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.01957481999216234,0.6962412398583746,False,True,127985,True
20261041,11,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.01957481999216234,0.6962412398583746,False,True,127985,True
20261041,11,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5415499759142044,0.6961373623089733,False,True,127920,True
20261042,12,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0035384632202038807,0.6384899846231828,False,True,127920,True
20261042,12,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.010849528669608543,0.6726866879016774,False,True,127985,True
20261042,12,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0035384632202038807,0.6384899846231828,False,True,127920,True
20261042,12,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.014683515074922913,0.6963437886460814,False,True,127985,True
20261042,12,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.014683515074922913,0.6963437886460814,False,True,127985,True
20261042,12,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.004318313714388094,0.6960834777135021,False,True,127920,True
20261042,12,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.015581256292927264,0.6606075862214521,False,True,128000,True
20261042,12,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.010849528669608543,0.6726866879016774,False,True,127985,True
20261042,12,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.536545597977746,0.6959032403449582,False,True,127920,True
20261042,12,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.014683515074922913,0.6963437886460814,False,True,127985,True
20261042,12,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.014683515074922913,0.6963437886460814,False,True,127985,True
20261042,12,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5383695875417095,0.6961351725059518,False,True,127920,True
20261043,13,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0008910222876878744,0.6613592799921203,False,True,127920,True
20261043,13,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.005940439651758606,0.6728515057778246,False,True,127985,True
20261043,13,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0008910222876878744,0.6613592799921203,False,True,127920,True
20261043,13,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.003968722881692371,0.6887006453642863,False,True,127985,True
20261043,13,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.003968722881692371,0.6887006453642863,False,True,127985,True
20261043,13,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.05783823594665628,0.6880306182903613,False,True,127920,True
20261043,13,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.01573815610408885,0.6762116727957608,False,True,128000,True
20261043,13,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.005940439651758606,0.6728515057778246,False,True,127985,True
20261043,13,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5383418149304242,0.6959968832724701,False,True,127920,True
20261043,13,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.003968722881692371,0.6887006453642863,False,True,127985,True
20261043,13,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.003968722881692371,0.6887006453642863,False,True,127985,True
20261043,13,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5357557896229818,0.6959806604748083,False,True,127920,True
20261044,14,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.002052245219997892,0.6592918072983962,False,True,127920,True
20261044,14,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.041211831839632354,0.6886778052033075,False,True,127985,True
20261044,14,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.002052245219997892,0.6592918072983962,False,True,127920,True
20261044,14,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.07493952456706957,0.6947764547975978,False,True,127985,True
20261044,14,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.07493952456706957,0.6947764547975978,False,True,127985,True
20261044,14,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.009903006811022224,0.6934223056385118,False,True,127920,True
20261044,14,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.005518295750553974,0.6796594881500816,False,True,128000,True
20261044,14,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.041211831839632354,0.6886778052033075,False,True,127985,True
20261044,14,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5378474462504553,0.6959889192033615,False,True,127920,True
20261044,14,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.07493952456706957,0.6947764547975978,False,True,127985,True
20261044,14,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.07493952456706957,0.6947764547975978,False,True,127985,True
20261044,14,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5505900196355846,0.6960839815078338,False,True,127920,True
20261045,15,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.00919143609184354,0.6657095653276742,False,True,127920,True
20261045,15,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.03132060539644815,0.6962412398583746,False,True,127985,True
20261045,15,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.00919143609184354,0.6657095653276742,False,True,127920,True
20261045,15,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.02303729945702559,0.6962412398583746,False,True,127985,True
20261045,15,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.02303729945702559,0.6962412398583746,False,True,127985,True
20261045,15,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.003289893375942772,0.6961380960440721,False,True,127920,True
20261045,15,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.011113985099854552,0.6870128239610384,False,True,128000,True
20261045,15,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.03132060539644815,0.6962412398583746,False,True,127985,True
20261045,15,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5377822149319353,0.6960147734472385,False,True,127920,True
20261045,15,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.02303729945702559,0.6962412398583746,False,True,127985,True
20261045,15,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.02303729945702559,0.6962412398583746,False,True,127985,True
20261045,15,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5455689801151044,0.696136205821717,False,True,127920,True
20261046,16,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.0012801491758825576,0.6511691375024793,False,True,127920,True
20261046,16,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.01623422252454367,0.6913592334959859,False,True,127985,True
20261046,16,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.0012801491758825576,0.6511691375024793,False,True,127920,True
20261046,16,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.02011273021866603,0.6871262082745853,False,True,127985,True
20261046,16,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.02011273021866603,0.6871262082745853,False,True,127985,True
20261046,16,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.02207931547873499,0.6859817445887583,False,True,127920,True
20261046,16,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.006050102551816737,0.6876527592055051,False,True,128000,True
20261046,16,0.0,0.0,8,q1,1,50,0.009885142859986436,2327,55,0.01623422252454367,0.6913592334959859,False,True,127985,True
20261046,16,0.0,0.0,8,q32,32,68,0.00020666014512486742,1230,104,0.5362217325908339,0.6959556913760023,False,True,127920,True
20261046,16,0.0,0.9,8,joint,1,50,0.009885142859986436,2327,55,0.02011273021866603,0.6871262082745853,False,True,127985,True
20261046,16,0.0,0.9,8,q1,1,50,0.009885142859986436,2327,55,0.02011273021866603,0.6871262082745853,False,True,127985,True
20261046,16,0.0,0.9,8,q32,32,68,0.00020354947791322963,1230,104,0.5404068273719328,0.6959426330712246,False,True,127920,True
20261047,17,0.0,0.0,0,joint,32,68,0.052523801812651344,1230,104,0.000708005135993056,0.651132699838629,False,True,127920,True
20261047,17,0.0,0.0,0,q1,1,50,0.009885142859986436,2327,55,0.014790096026125375,0.6962412398583746,False,True,127985,True
20261047,17,0.0,0.0,0,q32,32,68,0.052523801812651344,1230,104,0.000708005135993056,0.651132699838629,False,True,127920,True
20261047,17,0.0,0.9,0,joint,1,50,0.009885142859986436,2327,55,0.0066733402456476704,0.6726866879016774,False,True,127985,True
20261047,17,0.0,0.9,0,q1,1,50,0.009885142859986436,2327,55,0.0066733402456476704,0.6726866879016774,False,True,127985,True
20261047,17,0.0,0.9,0,q32,32,68,0.010755079654503737,1230,104,0.0066295924584988475,0.6713303906973727,False,True,127920,True
20261047,17,0.0,0.0,8,joint,4,56,0.026668002482448005,2000,64,0.00833954680025783,0.6760004521640729,False,True,128000,True
