cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,safe_dynamic_risk,common_scalar_risk,recipient_static_risk,recipient_static_alpha,static_to_scalar_ratio,dynamic_to_static_ratio
H0.2-I1.5-N1-S0-T0.9-D1,0.2,1.5,1.0,0.0,0.9,1,0.06404744958346503,0.06943969062773031,0.06454849838110605,"[0.5,0.75,0.75,0.5]",0.9295620098187621,0.9922376382068142
H0.2-I1.5-N1-S0-T0.9-D3,0.2,1.5,1.0,0.0,0.9,3,0.05419233490591002,0.06215160932302036,0.05568383892869689,"[0.5,0.75,0.75,0.5]",0.8959355925812227,0.9732147773666119
H0.2-I1.5-N1-S0.5-T0-D0,0.2,1.5,1.0,0.5,0.0,0,0.01899911294410697,0.01964411350047632,0.01895826352483358,"[0.1,0.5,0.5,0.1]",0.965086234325305,1.002154702577052
H0.2-I1.5-N1-S0.5-T0-D1,0.2,1.5,1.0,0.5,0.0,1,0.01771802029085288,0.01884077048578748,0.0174205277771895,"[0.1,0.5,0.5,0.1]",0.9246186503004566,1.017077124038281
H0.2-I1.5-N1-S0.5-T0-D3,0.2,1.5,1.0,0.5,0.0,3,0.015539836303074636,0.0175350210748153,0.015402677369164694,"[0.1,0.5,0.5,0.1]",0.8783951444054328,1.0089048761213766
H0.2-I1.5-N1-S0.5-T0.6-D0,0.2,1.5,1.0,0.5,0.6,0,0.05464312180957714,0.0592109452408528,0.05571745513750116,"[0.1,0.75,0.75,0.1]",0.9409992512509108,0.98071819100006
H0.2-I1.5-N1-S0.5-T0.6-D1,0.2,1.5,1.0,0.5,0.6,1,0.050532047051145584,0.0537640317712962,0.050076772531018166,"[0.25,0.5,0.5,0.25]",0.9314177319148412,1.0090915308059323
H0.2-I1.5-N1-S0.5-T0.6-D3,0.2,1.5,1.0,0.5,0.6,3,0.041298960740980765,0.044823699667064634,0.04148359505826776,"[0.25,0.5,0.75,0.25]",0.9254835135518475,0.9955492209142517
H0.2-I1.5-N1-S0.5-T0.9-D0,0.2,1.5,1.0,0.5,0.9,0,0.10770863730454598,0.12044196747773774,0.11560279095928341,"[0.25,0.75,0.75,0.25]",0.9598215088993063,0.9317131222418511
H0.2-I1.5-N1-S0.5-T0.9-D1,0.2,1.5,1.0,0.5,0.9,1,0.1019258072905973,0.10409170087992986,0.10253846614801106,"[0.5,0.75,0.75,0.5]",0.9850782077842068,0.9940250826794171
H0.2-I1.5-N1-S0.5-T0.9-D3,0.2,1.5,1.0,0.5,0.9,3,0.07844384342572337,0.08079289717592597,0.07946690021147473,"[0.5,0.75,0.75,0.5]",0.9835877037363335,0.9871260011019829
