cell_id,task,delay,message_overhead,rho,oracle_active,controller_mean_risk,strong_fixed_mean_risk,true_rho_oracle_mean_risk,controller_to_strong_ratio,controller_to_oracle_ratio,median_selected_q
taxi-D8-H32-R0.7,taxi,8,32,0.7,True,0.7887979834136766,0.5386389682382515,0.7980510017044086,1.4644279933804834,0.9884054800119664,4.0
taxi-D8-H32-R0.9,taxi,8,32,0.9,True,0.7045120957864055,0.6203405395464637,0.6727362422778554,1.1356860480236877,1.0472337470640178,1.0
taxi-D8-H32-R1,taxi,8,32,1.0,True,0.561680091383923,0.8864272174555735,0.5871696770823601,0.633644906567948,0.9565890632753814,1.0
taxi-D8-H8-R0,taxi,8,8,0.0,True,0.05417996763748402,0.09833247238973104,0.05321698272499729,0.5509875458307106,1.0180954436568308,16.0
taxi-D8-H8-R0.1,taxi,8,8,0.1,True,0.090310743659506,0.07579465112129448,0.09803373560669407,1.1915186932516038,0.9212210786481474,4.0
taxi-D8-H8-R0.3,taxi,8,8,0.3,False,0.2756459853315408,0.27365857210222355,0.27365857210222355,1.0072623825157387,1.0072623825157387,4.0
taxi-D8-H8-R0.5,taxi,8,8,0.5,False,0.2706343083590535,0.2673852760921116,0.2673852760921116,1.0121511263238843,1.0121511263238843,4.0
taxi-D8-H8-R0.7,taxi,8,8,0.7,True,0.3391595195008164,0.34041644158606466,0.5690343710916168,0.9963076927794908,0.5960264207769804,1.0
taxi-D8-H8-R0.9,taxi,8,8,0.9,True,0.436388505131531,0.44687781318425873,0.4224514533678946,0.9765275703038702,1.032990895527821,1.0
taxi-D8-H8-R1,taxi,8,8,1.0,True,0.43102577702876343,0.47530441592094314,0.44478504018243603,0.9068415158601335,0.9690653643656068,1.0
