seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270709,0.5,0,1,984,0.0288721956312656,4.476841926574707,True
20270709,0.5,0,4,941,0.1524659097194671,4.184375286102295,True
20270709,0.5,0,16,800,0.2080736309289932,3.738726854324341,True
20270709,0.5,0,32,666,0.1262083500623703,3.174235820770264,True
20270709,0.5,8,1,984,0.0211886130273342,4.587597370147705,True
20270709,0.5,8,4,941,0.1597179472446441,4.136740207672119,True
20270709,0.5,8,16,800,0.088464617729187,3.5786688327789307,True
20270709,0.5,8,32,666,0.1649896204471588,3.0929975509643555,True
20270709,0.9,0,1,984,0.1174807697534561,5.418848037719727,True
20270709,0.9,0,4,941,0.2287569046020507,6.033484935760498,True
20270709,0.9,0,16,800,0.2650988101959228,6.318238258361816,True
20270709,0.9,0,32,666,0.2076398581266403,5.888134956359863,True
20270709,0.9,8,1,984,0.1578596532344818,5.534207344055176,True
20270709,0.9,8,4,941,0.1708706468343734,5.975537300109863,True
20270709,0.9,8,16,800,0.0912661999464035,6.11921501159668,True
20270709,0.9,8,32,666,0.3209678530693054,5.738284587860107,True
20270710,0.0,0,1,984,0.0029335797298699,6.095090866088867,True
20270710,0.0,0,4,941,0.0692069232463836,2.847114086151123,True
20270710,0.0,0,16,800,0.0130489114671945,1.2850582599639893,True
20270710,0.0,0,32,666,0.0113659426569938,1.0770673751831057,True
20270710,0.0,8,1,984,0.0060439421795308,6.072530746459961,True
20270710,0.0,8,4,941,0.0472932085394859,2.7756664752960205,True
20270710,0.0,8,16,800,0.0113774752244353,1.2888253927230835,True
20270710,0.0,8,32,666,0.0062493067234754,1.075512170791626,True
20270710,0.25,0,1,984,0.0306816790252923,5.587766170501709,True
20270710,0.25,0,4,941,0.1675566583871841,4.024666786193848,True
20270710,0.25,0,16,800,0.1927987039089203,3.4127562046051025,True
20270710,0.25,0,32,666,0.2029499560594558,2.9022223949432373,True
20270710,0.25,8,1,984,0.014814524911344,5.75612211227417,True
