cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_continuous_auc,mean_strong_static_auc,continuous_to_static_ratio
Falternating-H0.6-I0.5-N0.1-S0-T0-D1,alternating,0.6,0.5,0.1,0.0,0.0,1,0.024479176127359677,0.06294693073290594,0.38888593680967226
Falternating-H0.6-I0.5-N0.1-S0-T0-D3,alternating,0.6,0.5,0.1,0.0,0.0,3,0.024185715494168817,0.05785992246921949,0.418004630183098
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D0,alternating,0.6,0.5,0.1,0.0,0.9,0,0.05758464562770611,0.09359674022644868,0.6152419997575276
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D1,alternating,0.6,0.5,0.1,0.0,0.9,1,0.05514036477071477,0.08660627191097292,0.6366786556451294
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D3,alternating,0.6,0.5,0.1,0.0,0.9,3,0.05087726166001899,0.07433544678637656,0.6844280065502109
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D0,alternating,0.6,0.5,0.1,0.9,0.0,0,0.025188655052355693,0.06710292928757425,0.3753734050030509
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D1,alternating,0.6,0.5,0.1,0.9,0.0,1,0.02453802523238307,0.06383964138252324,0.38436972233839345
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D3,alternating,0.6,0.5,0.1,0.9,0.0,3,0.024525892866879048,0.05787618626817134,0.42376484091811895
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.6,0.5,0.1,0.9,0.9,0,0.05833448866196569,0.09573407180713048,0.6093388441629076
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.6,0.5,0.1,0.9,0.9,1,0.06251932250818037,0.0927096338002396,0.6743562663928763
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.6,0.5,0.1,0.9,0.9,3,0.05505954818254925,0.08054970342904812,0.6835474972424725
Falternating-H0.6-I0.5-N0.5-S0-T0-D0,alternating,0.6,0.5,0.5,0.0,0.0,0,0.03997516944610753,0.07371916508376786,0.5422629163079008
Falternating-H0.6-I0.5-N0.5-S0-T0-D1,alternating,0.6,0.5,0.5,0.0,0.0,1,0.04095531753527993,0.07096009081637195,0.5771598804920174
Falternating-H0.6-I0.5-N0.5-S0-T0-D3,alternating,0.6,0.5,0.5,0.0,0.0,3,0.040854868091816245,0.0660055986800625,0.6189606474118198
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D0,alternating,0.6,0.5,0.5,0.0,0.9,0,0.16433158874311019,0.18221174975858073,0.9018715256334421
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D1,alternating,0.6,0.5,0.5,0.0,0.9,1,0.17794227511596916,0.17198299320725963,1.034650413959989
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D3,alternating,0.6,0.5,0.5,0.0,0.9,3,0.19696079021977664,0.18485001884775829,1.0655167440474687
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D0,alternating,0.6,0.5,0.5,0.9,0.0,0,0.04137386710693816,0.07410190817743939,0.5583374048596308
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D1,alternating,0.6,0.5,0.5,0.9,0.0,1,0.04090886999793376,0.07034281445839838,0.5815643049387479
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D3,alternating,0.6,0.5,0.5,0.9,0.0,3,0.03901010720745238,0.06401947291859714,0.6093475223867433
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.6,0.5,0.5,0.9,0.9,0,0.2077788245008665,0.2068390419459192,1.0045435452906082
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.6,0.5,0.5,0.9,0.9,1,0.16654535114960733,0.17591558893079232,0.9467344660121545
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.6,0.5,0.5,0.9,0.9,3,0.19196056365565367,0.1885507969287689,1.0180840748616562
Falternating-H0.6-I1.5-N0.1-S0-T0-D0,alternating,0.6,1.5,0.1,0.0,0.0,0,0.08500125416766324,0.1335469867456256,0.6364894951135803
Falternating-H0.6-I1.5-N0.1-S0-T0-D1,alternating,0.6,1.5,0.1,0.0,0.0,1,0.09012837015120018,0.12985231624282312,0.694083654100252
Falternating-H0.6-I1.5-N0.1-S0-T0-D3,alternating,0.6,1.5,0.1,0.0,0.0,3,0.0902460140310064,0.12494983054864914,0.7222579945466127
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D0,alternating,0.6,1.5,0.1,0.0,0.9,0,0.11311065596119294,0.15703478938882398,0.7202904299194922
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D1,alternating,0.6,1.5,0.1,0.0,0.9,1,0.11939099307129654,0.15068441809801375,0.792324744510994
Falternating-H0.6-I1.5-N0.1-S0-T0.9-D3,alternating,0.6,1.5,0.1,0.0,0.9,3,0.1199209525519839,0.14764381105947172,0.8122314893624569
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D0,alternating,0.6,1.5,0.1,0.9,0.0,0,0.08650946314198076,0.13367275321148653,0.6471734969437809
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D1,alternating,0.6,1.5,0.1,0.9,0.0,1,0.09165353032297212,0.13197949352863697,0.6944528113610702
Falternating-H0.6-I1.5-N0.1-S0.9-T0-D3,alternating,0.6,1.5,0.1,0.9,0.0,3,0.09124269569120888,0.12593421774530766,0.7245266403745824
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D0,alternating,0.6,1.5,0.1,0.9,0.9,0,0.11519202128952405,0.15718839367443577,0.7328277781634855
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D1,alternating,0.6,1.5,0.1,0.9,0.9,1,0.11761328016716588,0.15138551780476373,0.7769123617151236
Falternating-H0.6-I1.5-N0.1-S0.9-T0.9-D3,alternating,0.6,1.5,0.1,0.9,0.9,3,0.11959077716501054,0.15087006455673516,0.792673997431996
Falternating-H0.6-I1.5-N0.5-S0-T0-D0,alternating,0.6,1.5,0.5,0.0,0.0,0,0.10615924715590895,0.14417848759818375,0.7363043469547829
Falternating-H0.6-I1.5-N0.5-S0-T0-D1,alternating,0.6,1.5,0.5,0.0,0.0,1,0.10291390834566407,0.13657995481694613,0.7535066802708815
Falternating-H0.6-I1.5-N0.5-S0-T0-D3,alternating,0.6,1.5,0.5,0.0,0.0,3,0.10544687139898049,0.1305554146562111,0.8076790355777398
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D0,alternating,0.6,1.5,0.5,0.0,0.9,0,0.23597714470469502,0.24102375413724084,0.9790617756718193
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D1,alternating,0.6,1.5,0.5,0.0,0.9,1,0.25556817178829505,0.24752036553721368,1.03251371350238
Falternating-H0.6-I1.5-N0.5-S0-T0.9-D3,alternating,0.6,1.5,0.5,0.0,0.9,3,0.24992745357310103,0.2508673597461094,0.996253373998277
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D0,alternating,0.6,1.5,0.5,0.9,0.0,0,0.10158928724949529,0.13905794214173853,0.7305536504052943
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D1,alternating,0.6,1.5,0.5,0.9,0.0,1,0.10947888098341475,0.1398957361463035,0.7825748232163511
Falternating-H0.6-I1.5-N0.5-S0.9-T0-D3,alternating,0.6,1.5,0.5,0.9,0.0,3,0.10809081500720462,0.1345944024374271,0.8030855150715203
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D0,alternating,0.6,1.5,0.5,0.9,0.9,0,0.26394679109747166,0.2792096771131813,0.9453353974922487
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D1,alternating,0.6,1.5,0.5,0.9,0.9,1,0.25737417656521266,0.2572428439946565,1.0005105392574454
Falternating-H0.6-I1.5-N0.5-S0.9-T0.9-D3,alternating,0.6,1.5,0.5,0.9,0.9,3,0.23139786528158005,0.23827128006598447,0.9711529867027996
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D0,single_switch,0.1,0.5,0.1,0.0,0.0,0,0.010489508550287244,0.01031917119727607,1.0165068831357442
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D1,single_switch,0.1,0.5,0.1,0.0,0.0,1,0.011100372968635322,0.011158592137618713,0.9947825703937042
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0-D3,single_switch,0.1,0.5,0.1,0.0,0.0,3,0.010687858562764156,0.010768203652838263,0.9925386728683452
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D0,single_switch,0.1,0.5,0.1,0.0,0.9,0,0.038566326846282896,0.028859118337471967,1.336365387025932
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D1,single_switch,0.1,0.5,0.1,0.0,0.9,1,0.038454773451872114,0.03590473686336548,1.0710222887361833
Fsingle_switch-H0.1-I0.5-N0.1-S0-T0.9-D3,single_switch,0.1,0.5,0.1,0.0,0.9,3,0.03876293736794739,0.03623366331186635,1.06980453602804
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D0,single_switch,0.1,0.5,0.1,0.9,0.0,0,0.01076707340830325,0.010475992931865154,1.0277854785060716
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D1,single_switch,0.1,0.5,0.1,0.9,0.0,1,0.01117121563354007,0.011221763842595291,0.9954955201549196
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0-D3,single_switch,0.1,0.5,0.1,0.9,0.0,3,0.010910723184008476,0.010973559563347796,0.9942738380398283
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D0,single_switch,0.1,0.5,0.1,0.9,0.9,0,0.03809619993148814,0.03574916327579513,1.0656529115824687
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D1,single_switch,0.1,0.5,0.1,0.9,0.9,1,0.03373457695679913,0.032878584116206276,1.0260349666386919
Fsingle_switch-H0.1-I0.5-N0.1-S0.9-T0.9-D3,single_switch,0.1,0.5,0.1,0.9,0.9,3,0.036533827873091465,0.03467578699176604,1.0535832360997786
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D0,single_switch,0.1,0.5,0.5,0.0,0.0,0,0.019725396521179592,0.018504515849907536,1.065977444704567
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D1,single_switch,0.1,0.5,0.5,0.0,0.0,1,0.019358870530552304,0.019169114603547085,1.0098990449444183
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0-D3,single_switch,0.1,0.5,0.5,0.0,0.0,3,0.01960841710175496,0.019005240505711965,1.0317373829529657
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D0,single_switch,0.1,0.5,0.5,0.0,0.9,0,0.16557359647680675,0.12013979021465557,1.378174509718836
Fsingle_switch-H0.1-I0.5-N0.5-S0-T0.9-D1,single_switch,0.1,0.5,0.5,0.0,0.9,1,0.1558899782924903,0.11736960895052365,1.3281971345598045
