cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,continuous_auc,continuous_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,702779833,0.01545194924996741,0.016784946312591944,0.00029938532160019607,240,0,30,11,556,23.166666666666668,0.002398045459713919,0.035370941825119476,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3081155260,0.013663518123417652,0.014741646124198005,0.006996170950586117,240,0,30,11,683,28.458333333333332,0.04913321169043206,0.14178406100100585,0.7916666666666666,0.20833333333333334
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3689771675,0.02257616659946246,0.022316283064342714,0.00987773470061414,240,0,30,12,674,28.083333333333332,0.03544542087341513,0.10111089877804758,0.875,0.125
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1151854685,0.013799656071651041,0.013799656071651041,0.003951701694605294,240,0,30,11,656,27.333333333333332,0.012142953257875034,0.03827705817931277,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2094958580,0.012741932060526977,0.013560062829755365,0.0009979448884639864,240,0,30,11,585,24.375,0.004249328336759755,0.040833678840518924,0.8333333333333334,0.16666666666666666
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,1636281357,0.022534016038636518,0.023593985964051115,0.04307909107061016,240,0,30,12,652,27.166666666666668,0.008738653057931499,0.06945592933372961,0.7916666666666666,0.20833333333333334
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,830070239,0.016009329353146983,0.016009329353146983,0.0021987704303179246,240,0,30,11,616,25.666666666666668,0.01794960985972652,0.08961863918516336,1.0,0.0
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3490259395,0.018929372101198258,0.019757355956869668,0.0013368639954227512,240,0,30,12,724,30.166666666666668,0.022664472320349082,0.06971930100241044,0.875,0.125
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,3512698917,0.013480336620612458,0.013059431296283557,0.0018104017504294362,240,0,30,11,842,35.083333333333336,0.01424089956526399,0.04419466143906311,0.875,0.125
Falternating-H0.1-I0.5-N0.5-S0.9-T0-D3,alternating,0.1,0.5,0.5,0.9,0.0,3,2341267830,0.026551151109266036,0.02657058849928028,0.01207910011110697,240,0,30,12,902,37.583333333333336,0.039141015657239354,0.1786948659638416,0.9583333333333334,0.041666666666666664
