seed,seed_index,scenario,max_delay,policy,charged_budget,observed_messages,total_probe_cost,total_updates,finite,within_budget
20260834,4,independent,4,correlation_only_adaptive,15832,12000,768,958,True,True
20260834,4,independent,4,state_oracle,15840,14080,0,440,True,True
20260834,4,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,global_08,4,lyapunov_state_adaptive,15972,4124,768,2962,True,True
20260834,4,global_08,4,raw_state_adaptive,15944,5408,768,2634,True,True
20260834,4,global_08,4,correlation_only_adaptive,15972,4124,768,2962,True,True
20260834,4,global_08,4,state_oracle,15960,5920,0,2510,True,True
20260834,4,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,clustered_08,4,lyapunov_state_adaptive,15998,7810,768,2047,True,True
20260834,4,clustered_08,4,raw_state_adaptive,15966,8522,768,1861,True,True
20260834,4,clustered_08,4,correlation_only_adaptive,15998,7810,768,2047,True,True
20260834,4,clustered_08,4,state_oracle,15892,12128,0,941,True,True
20260834,4,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,balanced_08,4,lyapunov_state_adaptive,15974,4378,768,2899,True,True
20260834,4,balanced_08,4,raw_state_adaptive,15974,4378,768,2899,True,True
20260834,4,balanced_08,4,correlation_only_adaptive,15974,4378,768,2899,True,True
20260834,4,balanced_08,4,state_oracle,15940,7280,0,2165,True,True
20260834,4,balanced_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,balanced_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,balanced_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,balanced_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,independent,16,lyapunov_state_adaptive,15808,12400,768,852,True,True
20260834,4,independent,16,raw_state_adaptive,15922,7390,768,2133,True,True
20260834,4,independent,16,correlation_only_adaptive,15954,8198,768,1939,True,True
20260834,4,independent,16,state_oracle,15840,14080,0,440,True,True
20260834,4,independent,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,independent,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,independent,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,independent,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,global_08,16,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260834,4,global_08,16,raw_state_adaptive,15940,4836,768,2776,True,True
20260834,4,global_08,16,correlation_only_adaptive,15968,3552,768,3104,True,True
20260834,4,global_08,16,state_oracle,15960,5920,0,2510,True,True
20260834,4,global_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,global_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,global_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,global_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,clustered_08,16,lyapunov_state_adaptive,15982,5458,768,2631,True,True
20260834,4,clustered_08,16,raw_state_adaptive,15960,7568,768,2098,True,True
20260834,4,clustered_08,16,correlation_only_adaptive,15994,7174,768,2205,True,True
20260834,4,clustered_08,16,state_oracle,15900,11800,0,1025,True,True
20260834,4,clustered_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,clustered_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,clustered_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,clustered_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260834,4,balanced_08,16,lyapunov_state_adaptive,15980,5268,768,2678,True,True
20260834,4,balanced_08,16,raw_state_adaptive,15924,7836,768,2022,True,True
20260834,4,balanced_08,16,correlation_only_adaptive,15980,5268,768,2678,True,True
20260834,4,balanced_08,16,state_oracle,15940,7280,0,2165,True,True
20260834,4,balanced_08,16,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260834,4,balanced_08,16,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260834,4,balanced_08,16,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260834,4,balanced_08,16,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260835,5,independent,4,lyapunov_state_adaptive,15910,10994,768,1229,True,True
20260835,5,independent,4,raw_state_adaptive,15940,8760,768,1795,True,True
20260835,5,independent,4,correlation_only_adaptive,15950,8766,768,1796,True,True
20260835,5,independent,4,state_oracle,15840,14080,0,440,True,True
20260835,5,independent,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260835,5,independent,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260835,5,independent,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260835,5,independent,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260835,5,global_08,4,lyapunov_state_adaptive,15968,3552,768,3104,True,True
20260835,5,global_08,4,raw_state_adaptive,15912,6120,768,2448,True,True
20260835,5,global_08,4,correlation_only_adaptive,15968,3552,768,3104,True,True
20260835,5,global_08,4,state_oracle,15880,11360,0,1130,True,True
20260835,5,global_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260835,5,global_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260835,5,global_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260835,5,global_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260835,5,clustered_08,4,lyapunov_state_adaptive,15992,6856,768,2284,True,True
20260835,5,clustered_08,4,raw_state_adaptive,15994,7174,768,2205,True,True
20260835,5,clustered_08,4,correlation_only_adaptive,15994,7174,768,2205,True,True
20260835,5,clustered_08,4,state_oracle,15900,11800,0,1025,True,True
20260835,5,clustered_08,4,fixed_q1_oracle_eta,16000,3200,0,3200,True,True
20260835,5,clustered_08,4,fixed_q4_oracle_eta,16000,8000,0,2000,True,True
20260835,5,clustered_08,4,fixed_q8_oracle_eta,15936,10624,0,1328,True,True
20260835,5,clustered_08,4,fixed_q32_oracle_eta,15840,14080,0,440,True,True
20260835,5,balanced_08,4,lyapunov_state_adaptive,15970,3806,768,3041,True,True
20260835,5,balanced_08,4,raw_state_adaptive,15916,6628,768,2322,True,True
20260835,5,balanced_08,4,correlation_only_adaptive,15970,3806,768,3041,True,True
