cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,best_static_graph,best_static_auc,best_static_terminal,dynamic_auc,dynamic_terminal,dynamic_to_static_auc_ratio,dynamic_to_static_terminal_ratio,charged_shadow_auc,checkpoint_safe,selected_actions,action_change_count,environment_used,message_used
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D3,alternating,0.6,0.5,0.1,0.0,0.9,3,"[0,0,3,0]",0.06940099079533857,0.018201839512023487,0.03592367644060404,0.013995309671060767,0.5176248354514402,0.7688953449905963,0.09007320792590177,True,"[[0,0,1,1],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D0,alternating,0.6,0.5,0.1,0.9,0.0,0,"[0,0,0,0]",0.06691543608189847,0.0030126376225888467,0.025807881746252537,0.002032388812485867,0.3856790489217766,0.6746210686764831,0.07839364884715856,True,"[[1,1,5,5],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",4,240,18
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D1,alternating,0.6,0.5,0.1,0.9,0.0,1,"[0,0,3,0]",0.063394001317435,0.008428430105785317,0.025771823858993733,0.002008881048446487,0.40653410927550665,0.23834581567777147,0.07839364884715856,True,"[[0,0,0,0],[0,0,5,5],[0,6,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D3,alternating,0.6,0.5,0.1,0.9,0.0,3,"[0,0,3,0]",0.05786852985532449,0.0057058328703813365,0.025884989312162442,0.001968196226858571,0.44730684150568173,0.3449445981979895,0.07839364884715856,True,"[[0,0,0,0],[0,0,5,5],[0,4,2,5],[0,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.6,0.5,0.1,0.9,0.9,0,"[0,0,0,0]",0.0791339847597624,0.015648225150374867,0.03734590331550678,0.01452701084857264,0.471932551215293,0.928348787736137,0.09007320792590177,True,"[[1,1,5,5],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",4,240,18
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.6,0.5,0.1,0.9,0.9,1,"[0,0,3,0]",0.07528029529897846,0.021007761486448725,0.03705469240723493,0.014423881375688005,0.49222299487629345,0.6865977312714769,0.09007320792590177,True,"[[0,0,1,1],[0,0,5,5],[1,4,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.6,0.5,0.1,0.9,0.9,3,"[0,0,3,0]",0.06953365874004815,0.018234609791493706,0.03635434074835163,0.014121546274546357,0.5228308333991524,0.7744364390585391,0.09007320792590177,True,"[[0,0,1,1],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.6-I0.5-N0.5-S0-T0-D0,alternating,0.6,0.5,0.5,0.0,0.0,0,"[0,0,0,0]",0.074809271962934,0.011175902903473242,0.032410192344955326,0.009782460531996353,0.43323763879180255,0.8753172442967596,0.08623744585013293,True,"[[1,1,5,5],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",4,240,18
Falternating-H0.6-I0.5-N0.5-S0-T0-D1,alternating,0.6,0.5,0.5,0.0,0.0,1,"[0,0,3,0]",0.07081018944383871,0.016491740637427837,0.03236594347829166,0.00976906877000013,0.45708031192264886,0.5923612907075029,0.08623744585013293,True,"[[0,0,1,1],[0,0,5,5],[1,4,4,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.6-I0.5-N0.5-S0-T0-D3,alternating,0.6,0.5,0.5,0.0,0.0,3,"[0,0,3,0]",0.06531258674636177,0.013777308554172248,0.03252464173698894,0.009749007882332277,0.49798428384557475,0.7076133806540856,0.08623744585013293,True,"[[0,0,1,1],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
